id,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
1,Bassett,Richard,,,,,1745-04-02,M,sen,DE,,2,Anti-Administration,,,,,,,,,,,,B000226,,,,,,401222,,,,507,Richard Bassett (Delaware politician)
2,Bland,Theodorick,,,,,1742-03-21,M,rep,VA,9,,,,,,,,,,,,,,B000546,,,,,,401521,,,,786,Theodorick Bland (congressman)
3,Burke,Aedanus,,,,,1743-06-16,M,rep,SC,2,,,,,,,,,,,,,,B001086,,,,,,402032,,,,1260,Aedanus Burke
4,Carroll,Daniel,,,,,1730-07-22,M,rep,MD,6,,,,,,,,,,,,,,C000187,,,,,,402334,,,,1538,Daniel Carroll
5,Clymer,George,,,,,1739-03-16,M,rep,PA,-1,,,,,,,,,,,,,,C000538,,,,,,402671,,,,1859,George Clymer
6,Contee,Benjamin,,,,,,M,rep,MD,3,,,,,,,,,,,,,,C000710,,,,,,402834,,,,2010,Benjamin Contee
7,Dalton,Tristram,,,,,1738-05-28,M,sen,MA,,1,Pro-Administration,,,,,,,,,,,,D000013,,,,,,403156,,,,2307,Tristram Dalton
8,Elmer,Jonathan,,,,,1745-11-29,M,sen,NJ,,1,Pro-Administration,,,,,,,,,,,,E000155,,,,,,403846,,,,2943,Jonathan Elmer
9,Few,William,,,,,1748-06-08,M,sen,GA,,2,Anti-Administration,,,,,,,,,,,,F000100,,,,,,404057,,,,3128,William Few
10,Floyd,William,,,,,1734-12-17,M,rep,NY,1,,,,,,,,,,,,,,F000224,,,,,,404179,,,,3237,William Floyd
11,Gale,George,,,,,1756-06-03,M,rep,MD,5,,,,,,,,,,,,,,G000012,,,,,,404389,,,,3430,George Gale (congressman)
12,Grayson,William,,,,,,M,sen,VA,,1,Anti-Administration,,,,,,,,,,,,G000403,,,,,,404753,,,,3771,William Grayson
13,Grout,Jonathan,,,,,1737-07-23,M,rep,MA,8,,,,,,,,,,,,,,G000500,,,,,,404845,,,,3857,Jonathan Grout
14,Hawkins,Benjamin,,,,,1754-08-15,M,sen,NC,,3,Pro-Administration,,,,,,,,,,,,H000368,,,,,,405237,,,,4212,Benjamin Hawkins
15,Huntington,Benjamin,,,,,1736-04-19,M,rep,CT,-1,,,,,,,,,,,,,,H000995,,,,,,405835,,,,4766,Benjamin Huntington
16,Izard,Ralph,,,,,,M,sen,SC,,3,Pro-Administration,,,,,,,,,,,,I000053,,,,,,412129,,,,4837,Ralph Izard
17,Johnson,William,Samuel,,,,1727-10-07,M,sen,CT,,3,Pro-Administration,,,,,,,,,,,,J000182,,,,,,406077,,,,4998,William Samuel Johnson
18,Johnston,Samuel,,,,,1733-12-15,M,sen,NC,,2,Pro-Administration,,,,,,,,,,,,J000198,,,,,,406093,,,,5012,Samuel Johnston
19,Lee,Richard,Henry,,,,1732-01-20,M,sen,VA,,2,Anti-Administration,,,,,,,,,,,,L000201,,,,,,406704,,,,5565,Richard Henry Lee
20,Maclay,William,,,,,1737-07-20,M,sen,PA,,1,Anti-Administration,,,,,,,,,,,,M000031,,,,,,407058,,,,5891,William Maclay (Pennsylvania senator)
21,Mathews,George,,,,,1739-08-30,M,rep,GA,3,,,,,,,,,,,,,,M000234,,,,,,407252,,,,6071,George Mathews (soldier)
22,Morris,Robert,,,,,1734-01-20,M,sen,PA,,3,Pro-Administration,,,,,,,,,,,,M000985,,,,,,407953,,,,6712,Robert Morris (financier)
23,Partridge,George,,,,,1740-02-08,M,rep,MA,5,,,,,,,,,,,,,,P000092,,,,,,408502,,,,7224,George Partridge
24,Paterson,William,,,,,1745-12-24,M,sen,NJ,,2,Pro-Administration,,,,,,,,,,,,P000102,,,,,,408510,,,,7231,William Paterson (judge)
25,Smith,William,,,,,1728-04-12,M,rep,MD,4,,,,,,,,,,,,,,S000624,,,,,,410099,,,,8693,William Smith (Maryland politician)
