id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/3acb7032-1f3a-4087-a2cd-0f3786b9f9c9,Anna Wishart,Nonpartisan,27,legislature,Anna,Wishart,,awishart@leg.ne.gov,,,,https://www.nebraskalegislature.gov/media/images/senators/dist27/highres/dist27.jpg,http://news.legislature.ne.gov/dist27;http://news.legislature.ne.gov/dist27/;http://nebraskalegislature.gov/senators/landing-pages/index.php?District=27,http://news.legislature.ne.gov/dist27;http://news.legislature.ne.gov/dist27/;http://nebraskalegislature.gov/senators/landing-pages/index.php?District=27;https://nebraskalegislature.gov/senators/senator_list.php,,,,,,,,,,,
ocd-person/01d5ca17-53a1-463a-b2f6-74fe24833c0f,Barry DeKay,Nonpartisan,40,legislature,Barry,DeKay,,bdekay@leg.ne.gov,,,,https://www.nebraskalegislature.gov/media/images/senators/dist40/highres/dist40.jpg,http://nebraskalegislature.gov/senators/landing-pages/index.php?District=40,http://nebraskalegislature.gov/senators/landing-pages/index.php?District=40;https://nebraskalegislature.gov/senators/senator_list.php,,,,,,,,,,,
ocd-person/3da787e9-f6ed-4069-bd74-58ec7c015efb,Beau Ballard,Nonpartisan,21,legislature,Beau,Ballard,,bballard@leg.ne.gov,,,,https://www.nebraskalegislature.gov/media/images/senators/dist21/highres/dist21.jpg,http://nebraskalegislature.gov/senators/landing-pages/index.php?District=21,http://nebraskalegislature.gov/senators/landing-pages/index.php?District=21;https://nebraskalegislature.gov/senators/senator_list.php,,,,,,,,,,,
ocd-person/bfc9dd37-6a7b-4ea2-acf5-c8e161a27764,Ben Hansen,Nonpartisan,16,legislature,Ben,Hansen,,bhansen@leg.ne.gov,,,,https://www.nebraskalegislature.gov/media/images/senators/dist16/highres/dist16.jpg,http://news.legislature.ne.gov/dist16;http://news.legislature.ne.gov/dist16/;http://nebraskalegislature.gov/senators/landing-pages/index.php?District=16,http://news.legislature.ne.gov/dist16;http://news.legislature.ne.gov/dist16/;http://nebraskalegislature.gov/senators/landing-pages/index.php?District=16;https://nebraskalegislature.gov/senators/senator_list.php,,,,,,,,,,,
ocd-person/a98b3cf6-9bf8-40a3-94f3-1c196e233ebd,Brian Hardin,Nonpartisan,48,legislature,Brian,Hardin,,bhardin@leg.ne.gov,,,,https://www.nebraskalegislature.gov/media/images/senators/dist48/highres/dist48.jpg,http://nebraskalegislature.gov/senators/landing-pages/index.php?District=48,http://nebraskalegislature.gov/senators/landing-pages/index.php?District=48;https://nebraskalegislature.gov/senators/senator_list.php,,,,,,,,,,,
ocd-person/53e9667b-b61b-4ca5-a3e0-a30282382851,Bruce Bostelman,Nonpartisan,23,legislature,Bruce,Bostelman,,bbostelman@leg.ne.gov,,,,https://www.nebraskalegislature.gov/media/images/senators/dist23/highres/dist23.jpg,http://news.legislature.ne.gov/dist23;http://news.legislature.ne.gov/dist23/;http://nebraskalegislature.gov/senators/landing-pages/index.php?District=23,http://news.legislature.ne.gov/dist23;http://news.legislature.ne.gov/dist23/;http://nebraskalegislature.gov/senators/landing-pages/index.php?District=23;https://nebraskalegislature.gov/senators/senator_list.php,,,,,,,,,,,
ocd-person/adde7784-4e40-4bd5-892d-f45189ad8962,Carol Blood,Nonpartisan,3,legislature,Carol,Blood,,cblood@leg.ne.gov,,,,https://www.nebraskalegislature.gov/media/images/senators/dist03/highres/dist03.jpg,http://news.legislature.ne.gov/dist03;http://news.legislature.ne.gov/dist03/;http://nebraskalegislature.gov/senators/landing-pages/index.php?District=3,http://news.legislature.ne.gov/dist03;http://news.legislature.ne.gov/dist03/;http://nebraskalegislature.gov/senators/landing-pages/index.php?District=3;https://nebraskalegislature.gov/senators/senator_list.php,,,,,,,,,,,
ocd-person/ecf3913e-8e18-4aec-8991-12549df820cd,Carolyn Bosn,Nonpartisan,25,legislature,Carolyn,Bosn,,cbosn@leg.ne.gov,,,,https://www.nebraskalegislature.gov/media/images/senators/dist25/highres/dist25.jpg,http://nebraskalegislature.gov/senators/landing-pages/index.php?District=25,http://nebraskalegislature.gov/senators/landing-pages/index.php?District=25;https://nebraskalegislature.gov/senators/senator_list.php,,,,,,,,,,,
ocd-person/fdac2d3a-3497-4e34-8247-af670c901dd8,Christy Armendariz,Nonpartisan,18,legislature,Christy,Armendariz,,carmendariz@leg.ne.gov,,,,https://www.nebraskalegislature.gov/media/images/senators/dist18/highres/dist18.jpg,http://nebraskalegislature.gov/senators/landing-pages/index.php?District=18,http://nebraskalegislature.gov/senators/landing-pages/index.php?District=18;https://nebraskalegislature.gov/senators/senator_list.php,,,,,,,,,,,
ocd-person/bf280e36-3547-4d6a-b5aa-d6c32bb5547a,Danielle Conrad,Nonpartisan,46,legislature,Danielle,Conrad,,dconrad@leg.ne.gov,,,,https://www.nebraskalegislature.gov/media/images/senators/dist46/highres/dist46.jpg,http://nebraskalegislature.gov/senators/landing-pages/index.php?District=46,http://nebraskalegislature.gov/senators/landing-pages/index.php?District=46;https://nebraskalegislature.gov/senators/senator_list.php,,,,,,,,,,,
