id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/6a3fae94-a613-49f5-acec-355e4a2722d8,Adam Anderson,Republican,57,lower,Adam,Anderson,,,,,,https://myfloridahouse.gov//FileStores/Web/Imaging/Member/4885.jpg,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4885&LegislativeTermId=90,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4885&LegislativeTermId=90,,,,"Suite BB038; 600 East Klosterman Road; Tarpon Springs, FL 34689-1299",727-626-4440,,,,,,
ocd-person/c94b1151-5034-482b-8d7b-f91f9bb5f951,Adam Botana,Republican,80,lower,Adam,Botana,Male,,,,,https://myfloridahouse.gov//FileStores/Web/Imaging/Member/4782.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4782&LegislativeTermId=89;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4782&LegislativeTermId=90,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4782&LegislativeTermId=89;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4782&LegislativeTermId=90,,,,"Sunshine Professional Center, Suite 2215; 9240 Bonita Beach Road Southeast; Bonita Springs, FL 34135-4251",239-949-6279,,,,,,
ocd-person/b2fce1a8-4ba6-483b-a534-fa48cc43ee7f,Alex Rizo,Republican,112,lower,Alex,Rizo,Male,,,,,https://myfloridahouse.gov//FileStores/Web/Imaging/Member/4796.jpg,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4796&LegislativeTermId=90,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4796&LegislativeTermId=90,,,,"Suite A; 3798 West 12th Avenue; Hialeah, FL 33012-4126",305-364-3114,,,,,,
ocd-person/7f1e874f-ae8b-42a0-90d9-fe867cf9fb45,Alexis Calatayud,Republican,38,upper,Alexis,Calatayud,,calatayud.alexis.web@flsenate.gov,,,,https://flsenate.gov/PublishedContent/Senators/2022-2024/Photos/s38_5525.jpg,https://flsenate.gov/Senators/2022-2024/S38,https://flsenate.gov/Senators/2022-2024/S38,,,,"Kendall Campus; 11011 SW 104th Street; Suite 5101; Miami, FL 33176",305-596-3002,,,,,,
ocd-person/f0ceb5da-8efe-423d-ad13-f53290802d1b,Alina Garcia,Republican,115,lower,Alina,Garcia,,,,,,https://myfloridahouse.gov//FileStores/Web/Imaging/Member/4899.jpg,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4899&LegislativeTermId=90,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4899&LegislativeTermId=90,,,,"7380 Southwest 48th Street; Miami, FL 33155-5523",305-663-2065,,,,,,
ocd-person/c26599eb-5ef8-44c3-93a6-77cf23a9567e,Allison Tant,Democratic,9,lower,Allison,Tant,Female,,,,,https://myfloridahouse.gov//FileStores/Web/Imaging/Member/4765.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4765&LegislativeTermId=89;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4765&LegislativeTermId=90,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4765&LegislativeTermId=89;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4765&LegislativeTermId=90,,,,,,,,,,,
ocd-person/afd55a58-b8f6-4dd7-9d93-a2207b65e425,Ana Maria Rodriguez,Republican,40,upper,,,,rodriguez.anamaria.web@flsenate.gov,,,,https://flsenate.gov/PublishedContent/Senators/2022-2024/Photos/s40_5379.jpg,https://flsenate.gov/Senators/2022-2024/S40,https://flsenate.gov/Senators/2022-2024/S40,,,,"Miami-Dade College; West Campus Suite 1112; 3800 NW 115th Avenue; Doral, FL 33178",305-470-2552,,,,,,
ocd-person/66c3a112-3008-4332-a6b0-8990a7d992d5,"Angela ""Angie"" Nixon",Democratic,13,lower,,,Female,,,,,https://myfloridahouse.gov//FileStores/Web/Imaging/Member/4766.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4766&LegislativeTermId=89;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4766&LegislativeTermId=90,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4766&LegislativeTermId=89;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4766&LegislativeTermId=90,,,,"Suite G-121; 3939 Roosevelt Boulevard; Jacksonville, FL 32205-8949",904-381-6013,,,,,,
ocd-person/1f8e10ad-0047-4854-b696-38e15fda7afa,Anna V. Eskamani,Democratic,42,lower,,,Female,anna.eskamani@myfloridahouse.gov,,,,https://myfloridahouse.gov//FileStores/Web/Imaging/Member/4746.jpg,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4746&LegislativeTermId=88;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4746&LegislativeTermId=88;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4746&LegislativeTermId=90,http://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4746&LegislativeTermId=88;http://www.myfloridahouse.gov/Sections/Representatives/representatives.aspx;https://www.myfloridahouse.gov/Representatives;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4746&LegislativeTermId=88;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4746&LegislativeTermId=90,,,,"1507 East Concord Street; Orlando, FL 32803-5411",407-228-1451,,,,,,
ocd-person/2c62c9ae-8d1d-4dc3-a86a-fcc5dd7ba286,Ashley Viola Gantt,Democratic,109,lower,,,,,,,,https://myfloridahouse.gov//FileStores/Web/Imaging/Member/4897.jpg,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4897&LegislativeTermId=90,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4897&LegislativeTermId=90,,,,,,,,,,,
