id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/837ec59b-a7db-41dc-9e9f-a7a83b462213,A. Reece Pyrtle Jr.,Republican,65,lower,,,Male,Reece.Pyrtle@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/787/Low,https://www.ncleg.gov/Members/IntroducedBills/H/787;https://www.ncleg.gov/Members/Votes/H/787;https://www.ncleg.gov/Members/Committees/H/787,https://www.ncleg.gov/Members/Biography/H/787;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
ocd-person/559521af-e5f9-43c3-a75e-de9b242d364f,Abe Jones,Democratic,38,lower,Abe,Jones,Male,Abe.Jones@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/780/Low,https://www.ncleg.gov/Members/Biography/H/780;https://www.ncleg.gov/Members/IntroducedBills/H/780;https://www.ncleg.gov/Members/Votes/H/780;https://www.ncleg.gov/Members/Committees/H/780,https://www.ncleg.gov/Members/Biography/H/780;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,repabejones,,,,
ocd-person/95a533af-7933-4992-aea6-dfdc626b7ca6,Allen Buansi,Democratic,56,lower,Allen,Buansi,Male,Allen.Buansi@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/790/Low,https://www.ncleg.gov/Members/IntroducedBills/H/790;https://www.ncleg.gov/Members/Votes/H/790;https://www.ncleg.gov/Members/Committees/H/790,https://www.ncleg.gov/Members/Biography/H/790;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
ocd-person/fc3772c1-d98a-4325-a6c8-96b9da492ed6,Allen Chesser,Republican,25,lower,Allen,Chesser,,Allen.Chesser@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/799/Low,https://www.ncleg.gov/Members/IntroducedBills/H/799;https://www.ncleg.gov/Members/Votes/H/799;https://www.ncleg.gov/Members/Committees/H/799,https://www.ncleg.gov/Members/Biography/H/799;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
ocd-person/785927b3-34ca-4a2d-bc1c-df4cc8e16c47,Allison A. Dahle,Democratic,11,lower,Allison,Dahle,Female,Allison.Dahle@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/740/Low,https://www.ncleg.gov/Members/Biography/H/740;https://www.ncleg.gov/Members/IntroducedBills/H/740;https://www.ncleg.gov/Members/Votes/H/740;https://www.ncleg.gov/Members/Committees/H/740,https://www.ncleg.gov/Members/Biography/H/740;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
ocd-person/628fc48c-a48b-4128-87f1-2391ab795e0a,Amber M. Baker,Democratic,72,lower,Amber,Baker,Female,Amber.Baker@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/782/Low,https://www.ncleg.gov/Members/Biography/H/782;https://www.ncleg.gov/Members/IntroducedBills/H/782;https://www.ncleg.gov/Members/Votes/H/782;https://www.ncleg.gov/Members/Committees/H/782,https://www.ncleg.gov/Members/Biography/H/782;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
ocd-person/46275779-8191-48be-8b0b-8373376fa23d,Amos L. Quick III,Democratic,58,lower,Amos,Quick,Male,Amos.Quick@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/725/Low,https://www.ncleg.gov/Members/Biography/H/725;https://www.ncleg.gov/Members/IntroducedBills/H/725;https://www.ncleg.gov/Members/Votes/H/725;https://www.ncleg.gov/Members/Committees/H/725,https://www.ncleg.gov/Members/Biography/H/725;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
ocd-person/8be9deca-bbd6-404f-8726-0aecaeb19ca7,Amy S. Galey,Republican,25,upper,Amy,Galey,Female,Amy.Galey@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/S/429/Low,https://www.ncleg.gov/Members/Biography/S/429;https://www.ncleg.gov/Members/IntroducedBills/S/429;https://www.ncleg.gov/Members/Votes/S/429;https://www.ncleg.gov/Members/Committees/S/429,https://www.ncleg.gov/Members/Biography/S/429;https://www.ncleg.gov/Members/MemberTable/S,,,,,,,,,,,
ocd-person/0dea5927-d667-4202-9deb-336c83fc382c,Ashton Wheeler Clemmons,Democratic,57,lower,Ashton,Clemmons,Female,Ashton.Clemmons@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/739/Low,https://www.ncleg.gov/Members/Biography/H/739;https://www.ncleg.gov/Members/IntroducedBills/H/739;https://www.ncleg.gov/Members/Votes/H/739;https://www.ncleg.gov/Members/Committees/H/739,https://www.ncleg.gov/Members/Biography/H/739;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
ocd-person/064a56b9-d616-43a1-a3f2-ffd4938740d3,B. Ray Jeffers,Democratic,2,lower,,,,Ray.Jeffers@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/805/Low,https://www.ncleg.gov/Members/IntroducedBills/H/805;https://www.ncleg.gov/Members/Votes/H/805;https://www.ncleg.gov/Members/Committees/H/805,https://www.ncleg.gov/Members/Biography/H/805;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
ocd-person/367ad234-14bc-4d86-95ee-ab1176890d6e,Becky Carney,Democratic,102,lower,Becky,Carney,Female,Becky.Carney@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/322/Low,https://www.ncleg.gov/Members/Biography/H/322;https://www.ncleg.gov/Members/IntroducedBills/H/322;https://www.ncleg.gov/Members/Votes/H/322;https://www.ncleg.gov/Members/Committees/H/322,https://www.ncleg.gov/Members/Biography/H/322;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
ocd-person/fdc7d25a-085c-4100-b5f4-a8ae51979292,Ben T. Moss Jr.,Republican,52,lower,,,,Ben.Moss@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/784/Low,https://www.ncleg.gov/Members/IntroducedBills/H/784;https://www.ncleg.gov/Members/Votes/H/784;https://www.ncleg.gov/Members/Committees/H/784,https://www.ncleg.gov/Members/Biography/H/784;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
ocd-person/0c960acb-381f-4ce9-b9d3-313fd882b6e1,Benton G. Sawrey,Republican,10,upper,,,,Benton.Sawrey@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/S/445/Low,https://www.ncleg.gov/Members/IntroducedBills/S/445;https://www.ncleg.gov/Members/Votes/S/445;https://www.ncleg.gov/Members/Committees/S/445,https://www.ncleg.gov/Members/Biography/S/445;https://www.ncleg.gov/Members/MemberTable/S,,,,,,,,,,,
ocd-person/ac7e8e60-b5cb-41c2-92f9-1bdf9204f79a,Bill Rabon,Republican,8,upper,Bill,Rabon,Male,Bill.Rabon@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/S/303/Low,https://www.ncleg.gov/Members/Biography/S/303;https://www.ncleg.gov/Members/IntroducedBills/S/303;https://www.ncleg.gov/Members/Votes/S/303;https://www.ncleg.gov/Members/Committees/S/303,https://www.ncleg.gov/Members/Biography/S/303;https://www.ncleg.gov/Members/MemberTable/S,,,,,,,,,,,
