id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/2a1a6b8f-1f9c-4a1b-9059-7b2f8cc93ed9,Alyse Galvin,Independent,14,lower,Alyse,Galvin,,Representative.Alyse.Galvin@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/GAL.jpg,,http://www.akleg.gov/basis/Member/Detail/33?code=GAL;https://www.akleg.gov/basis/mbr_info.asp?session=33,,,,"1500 W. Benson Blvd., Anchorage, AK, 99503",907-269-0190,,,,,,
ocd-person/7db414a5-dd7e-48a9-aba2-9c0204f93a5c,Andi Story,Democratic,3,lower,Andi,Story,,Representative.Andi.Story@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/STO.jpg,http://www.akleg.gov/basis/Member/Detail/31?code=sto;http://www.akleg.gov/basis/Member/Detail/32?code=sto;http://www.akleg.gov/basis/Member/Detail/33?code=STO,http://w3.akleg.gov/;https://www.akleg.gov/basis/mbr_info.asp?session=33;http://www.akleg.gov/basis/Member/Detail/33?code=STO,,,,"State Capitol Room 403, Juneau, AK, 99801",,,,,,,
ocd-person/822df52b-f962-478d-8bf5-3bbe3c9dd811,Andrew Gray,Democratic,20,lower,Andrew,Gray,,Representative.Andrew.Gray@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/GRY.jpg,,http://www.akleg.gov/basis/Member/Detail/33?code=GRY;https://www.akleg.gov/basis/mbr_info.asp?session=33,,,,"1500 W Benson Blvd, Anchorage, AK, 99503",907-269-0123,,,,,,
ocd-person/e1989648-fdd3-4e88-a0f0-9e27e75c0f03,Andy Josephson,Democratic,13,lower,Andy,Josephson,,Representative.Andy.Josephson@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/JOS.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=jos;http://www.akleg.gov/basis/Member/Detail/31?code=jos;http://www.akleg.gov/basis/Member/Detail/32?code=jos,http://www.akleg.gov/basis/Member/Detail/30?code=jos;http://w3.akleg.gov/;http://www.akleg.gov/basis/Member/Detail/33?code=JOS;https://www.akleg.gov/basis/mbr_info.asp?session=33,,,,"1500 W Benson Blvd, Anchorage, AK, 99503",907-269-0265,907-269-0264,,,,,
ocd-person/1ac31dd3-6e42-43b1-91b0-4da4a1399543,Ashley Carrick,Democratic,35,lower,Ashley,Carrick,,Representative.Ashley.Carrick@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/CAI.jpg,,http://www.akleg.gov/basis/Member/Detail/33?code=CAI;https://www.akleg.gov/basis/mbr_info.asp?session=33,,,,"1292 Sadler Way, Fairbanks, AK, 99701",907-452-6084,,,,,,
ocd-person/64873656-b474-406d-a93a-e46fa281bc19,Ben Carpenter,Republican,8,lower,Ben,Carpenter,,Representative.Ben.Carpenter@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/CAE.jpg,http://www.akleg.gov/basis/Member/Detail/31?code=cae;http://www.akleg.gov/basis/Member/Detail/32?code=cae;http://www.akleg.gov/basis/Member/Detail/33?code=CAE,http://w3.akleg.gov/;http://www.akleg.gov/basis/Member/Detail/33?code=CAE;https://www.akleg.gov/basis/mbr_info.asp?session=33,,,,"145 Main Street Loop Ste 223, Kenai, AK, 99611",907-283-7223,,,,,,
ocd-person/bfdc2ee2-7760-4119-9d68-4962f1e1a285,Bert Stedman,Republican,A,upper,Bert,Stedman,,Senator.Bert.Stedman@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/SMN.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=smn;http://www.akleg.gov/basis/Member/Detail/31?code=smn;http://www.akleg.gov/basis/Member/Detail/32?code=smn,http://www.akleg.gov/basis/Member/Detail/30?code=smn;http://w3.akleg.gov/;http://www.akleg.gov/basis/Member/Detail/33?code=SMN;https://www.akleg.gov/basis/mbr_info.asp?session=33,,,,"1900 First Ave Ste 310, Ketchikan, AK, 99901",907-225-8088,907-225-0713,,,,,
ocd-person/57554431-caac-4074-a8d8-40a4e6289ec1,Bill Wielechowski,Democratic,K,upper,Bill,Wielechowski,,Senator.Bill.Wielechowski@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/WIE.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=wie;http://www.akleg.gov/basis/Member/Detail/31?code=wie;http://www.akleg.gov/basis/Member/Detail/32?code=wie,http://www.akleg.gov/basis/Member/Detail/30?code=wie;http://w3.akleg.gov/;http://www.akleg.gov/basis/Member/Detail/33?code=WIE;https://www.akleg.gov/basis/mbr_info.asp?session=33,,,,"1500 W Benson Blvd, Anchorage, AK, 99503",907-269-0120,907-465-6615,,,,,
ocd-person/b097e069-345d-42da-b821-0c2c9747ccfc,Bryce Edgmon,Independent,37,lower,Bryce,Edgmon,,Representative.Bryce.Edgmon@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/EDG.jpg,http://www.akleg.gov/basis/Member/Detail/30?code=edg;http://www.akleg.gov/basis/Member/Detail/31?code=edg;http://www.akleg.gov/basis/Member/Detail/32?code=edg,http://www.akleg.gov/basis/Member/Detail/30?code=edg;http://w3.akleg.gov/;http://www.akleg.gov/basis/Member/Detail/33?code=EDG;https://www.akleg.gov/basis/mbr_info.asp?session=33,,,,"1500 W Benson Blvd, Anchorage, AK, 99503",907-269-0275,907-465-3445,,,,,
ocd-person/fad7e605-7e5a-4251-88b6-edd021968bff,CJ McCormick,Democratic,38,lower,CJ,McCormick,,Representative.CJ.McCormick@akleg.gov,,,,http://akleg.gov/images/legislators/450x600/MCO.jpg,,http://www.akleg.gov/basis/Member/Detail/33?code=MCO;https://www.akleg.gov/basis/mbr_info.asp?session=33,,,,"PO Box 886, Bethel, AK, 99559",,,,,,,
