id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/295965df-6c71-4e11-806f-2b7d5be5d45c,Aisha Wahab,Democratic,10,upper,Aisha,Wahab,,,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/wahab_aisha_d-10_-_crop.jpg,https://senate.ca.gov/sd10,https://www.senate.ca.gov/senators,,,,"39510 Paseo Padre Parkway, Suite 280, Fremont, CA 94538",510-794-3900,,,,,,
ocd-person/6c2a35d5-c04c-44d0-8bd9-92a625e2b525,"Akilah Weber, M.D.",Democratic,79,lower,Akilah,Weber,,na,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad-79_weber_a._005_resized.jpg,https://a79.asmdc.org/,https://a79.asmdc.org/;https://www.assembly.ca.gov/assemblymembers,,,,"4700 Spring Street, Suite 301, La Mesa, CA 91943",619-465-7903,,,,,,
ocd-person/78610d0e-c790-4fc9-ab8e-0887adbbe063,Al Muratsuchi,Democratic,66,lower,Al,Muratsuchi,Male,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad66.jpg,https://a66.asmdc.org/,http://assembly.ca.gov/assemblymembers;https://www.assembly.ca.gov/assemblymembers,,,,"3424 West Carson Street, Suite 450, Torrance, CA 90503",310-375-0691,,,,,,
ocd-person/5d0057a2-e04d-44ca-b1d5-fc55e113351a,Alex Lee,Democratic,24,lower,Alex,Lee,,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/lee-025.jpg,https://a25.asmdc.org/,http://assembly.ca.gov/assemblymembers;https://www.assembly.ca.gov/assemblymembers;https://www.assembly.ca.gov/assemblymembers,,,,"1313 North Milpitas Boulevard, Suite 255, Milpitas, CA 95035",408-262-2501,,,,,,
ocd-person/564f2203-7cae-4a40-bc93-5c05a935b98f,Angelique V. Ashby,Democratic,8,upper,,,,,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/ashby_angelique_d-08.jpg,https://senate.ca.gov/sd08,https://www.senate.ca.gov/senators,,,,"2251 Florin Rd., Suite 156, Sacramento, CA 95822",916-262-2904,,,,,,
ocd-person/fe462917-df55-4a43-9fd8-970541544ca6,Anna M. Caballero,Democratic,14,upper,Anna,Caballero,Female,,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/2016-ad30_annacaballero.jpg,https://senate.ca.gov/sd12,http://senate.ca.gov/senators;https://www.senate.ca.gov/senators,,,,,,,,,,,
ocd-person/84f0dbbd-99dd-4ef2-9772-eb06047d847b,Anthony J. Portantino,Democratic,25,upper,Anthony,Portantino,Male,,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/portantino_0331_lscr.jpg,https://senate.ca.gov/sd25,http://senate.ca.gov/senators;https://www.senate.ca.gov/senators,,,,,,,,,,,
ocd-person/27c957dd-86a1-4bbe-9007-f4ebf931a795,Anthony Rendon,Democratic,62,lower,Anthony,Rendon,Male,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad63-rendon_0.jpg,https://speaker.asmdc.org/,http://assembly.ca.gov/assemblymembers;https://www.assembly.ca.gov/assemblymembers,,,,,,,,,,,
ocd-person/820619fd-d053-4915-b099-1d134a880228,Ash Kalra,Democratic,25,lower,Ash,Kalra,Male,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad27_karla_roster150_20161205.jpg,https://a27.asmdc.org/,http://assembly.ca.gov/assemblymembers;https://www.assembly.ca.gov/assemblymembers,,,,"100 Paseo De San Antonio, Suite 319, San Jose, CA 95113",408-277-1220,,,,,,
ocd-person/87062971-b583-4983-8ac5-4af98bef354d,Avelino Valencia,Democratic,68,lower,Avelino,Valencia,,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/valencia_518_11-30-22_resized.jpg,https://a68.asmdc.org/,https://www.assembly.ca.gov/assemblymembers,,,,"2400 East Katella Avenue, Suite 640, Anaheim, CA 92806",714-939-8469,,,,,,
ocd-person/e725b91e-1f7f-4510-a9cc-0b9a39d283c3,Benjamin Allen,Democratic,24,upper,Benjamin,Allen,Male,,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/allen_ben_d-26.jpg,https://senate.ca.gov/sd26,http://senate.ca.gov/senators;https://www.senate.ca.gov/senators,,,,"2512 Artesia Blvd., Suite 320, Redondo Beach, CA 90278",310-318-6994,,,,,,
ocd-person/7ecd4221-a627-42dc-9029-bbc543ef3735,Bill Dodd,Democratic,3,upper,Bill,Dodd,Male,,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/sen_bill_dodd.jpg,https://senate.ca.gov/sd03,http://senate.ca.gov/senators;https://www.senate.ca.gov/senators,,,,"420 Virginia Street, Suite 1-C, Vallejo, CA 94590",707-551-2389,,,,,,
ocd-person/d50e0a21-1f6a-4625-9e76-10adbb654064,Bill Essayli,Republican,63,lower,Bill,Essayli,,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/essayli_a25i1292_resized.png,https://ad63.asmrc.org,https://www.assembly.ca.gov/assemblymembers,,,,"1223 University Avenue, Suite 230, Riverside, CA 92507",951-369-6644,,,,,,
ocd-person/82cbb6e9-8486-44ec-8450-86d1e700f828,Blanca E. Rubio,Democratic,48,lower,Blanca,Rubio,Female,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/rubio.jpg,https://a48.asmdc.org,http://assembly.ca.gov/assemblymembers;https://www.assembly.ca.gov/assemblymembers,,,,"100 North Barranca Street, Suite 895, West Covina, CA 91791",626-960-4457,,,,,,
