id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/0ce91900-de38-4ab2-a6fe-089b04b20b74,Adrian K. Tam,Democratic,24,lower,Adrian K.,Tam,,reptam@capitol.hawaii.gov,,,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/Tam.jpg,http://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=132&year=2023,http://www.capitol.hawaii.gov/members/legislators.aspx,,,,,,,,,repadriantam,repadriantam,
ocd-person/cb860f85-2006-4d5b-b1a8-1c56c1def2d7,Amy A. Perruso,Democratic,46,lower,Amy A.,Perruso,,repperruso@capitol.hawaii.gov,,,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/Perruso.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=perruso&year=2019;https://www.capitol.hawaii.gov/memberpage.aspx?member=perruso&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=perruso&year=2022;http://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=109&year=2023,http://capitol.hawaii.gov/members/legislators.aspx?chamber=H;http://capitol.hawaii.gov/memberpage.aspx?member=perruso&year=2019;https://www.capitol.hawaii.gov/memberpage.aspx?member=perruso&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=perruso&year=2022;http://www.capitol.hawaii.gov/members/legislators.aspx,,,,,,,,,,representativeperruso,
ocd-person/442e3aac-61ca-4efe-bbb8-716654554597,Andrew Takuya Garrett,Democratic,22,lower,Andrew Takuya,Garrett,,repgarrett@capitol.hawaii.gov,,,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/Garrett.jpg,http://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=256&year=2023,http://www.capitol.hawaii.gov/members/legislators.aspx,,,,,,,,,repgarrett,profile.php?id=100085131802111,
ocd-person/d31a4d99-d6f1-42f8-b902-b6bff3c667e8,Angus L.K. McKelvey,Democratic,6,upper,Angus L.K.,McKelvey,,senmckelvey@capitol.hawaii.gov,,,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/mckelvey.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=mckelvey&year=2019;https://www.capitol.hawaii.gov/memberpage.aspx?member=mckelvey&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=mckelvey&year=2022;http://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=241&year=2023,http://capitol.hawaii.gov/members/legislators.aspx?chamber=H;http://capitol.hawaii.gov/memberpage.aspx?member=mckelvey&year=2019;https://www.capitol.hawaii.gov/memberpage.aspx?member=mckelvey&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=mckelvey&year=2022;http://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=241&year=2023;http://www.capitol.hawaii.gov/members/legislators.aspx,,,,,,,,,,,
ocd-person/05b3f451-01f6-4c0c-a01c-1bb379a80462,Bertrand Kobayashi,Democratic,20,lower,Bertrand,Kobayashi,,repkobayashi@capitol.hawaii.gov,,,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/Kobayashi.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=kobayashi&year=2019;https://www.capitol.hawaii.gov/memberpage.aspx?member=kobayashi&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=kobayashi&year=2022;http://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=77&year=2023,http://capitol.hawaii.gov/members/legislators.aspx?chamber=H;http://capitol.hawaii.gov/memberpage.aspx?member=kobayashi&year=2019;https://www.capitol.hawaii.gov/memberpage.aspx?member=kobayashi&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=kobayashi&year=2022;http://www.capitol.hawaii.gov/members/legislators.aspx,,,,,,,,,,,
ocd-person/22139704-8a26-4f4a-8a03-989990c21f37,Brandon J.C. Elefante,Democratic,16,upper,Brandon J.C.,Elefante,,senelefante@capitol.hawaii.gov,,,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/elefante.jpg,http://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=229&year=2023,http://www.capitol.hawaii.gov/members/legislators.aspx,,,,,,,,,senelefante,,
ocd-person/be1149eb-5b0c-48fb-b9f2-9bee875479cc,Brenton Awa,Republican,23,upper,Brenton,Awa,,senawa@capitol.hawaii.gov,,,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/awa.jpg,http://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=225&year=2023,http://www.capitol.hawaii.gov/members/legislators.aspx,,,,,,,,,,,
ocd-person/ca85a087-4a1f-450b-9386-11c13eb8c280,Carol Fukunaga,Democratic,11,upper,Carol,Fukunaga,,senfukunaga@capitol.hawaii.gov,,,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/fukunaga.jpg,http://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=168&year=2023,http://www.capitol.hawaii.gov/members/legislators.aspx,,,,,,,,,,,
ocd-person/12fb4131-d77f-4053-9319-204d396f433b,Cedric Asuega Gates,Democratic,45,lower,Cedric Asuega,Gates,,repgates@capitol.hawaii.gov,,,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/Gates.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=gates&year=2019;https://www.capitol.hawaii.gov/memberpage.aspx?member=gates&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=gates&year=2022;http://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=46&year=2023,http://capitol.hawaii.gov/members/legislators.aspx?chamber=H;http://capitol.hawaii.gov/memberpage.aspx?member=gates&year=2019;https://www.capitol.hawaii.gov/memberpage.aspx?member=gates&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=gates&year=2022;http://www.capitol.hawaii.gov/members/legislators.aspx,,,,,,,,,,,
ocd-person/3484e323-b1a2-4c41-ad9f-8153445f8cd4,Chris Lee,Democratic,25,upper,Chris,Lee,,senlee@capitol.hawaii.gov,,,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/clee.jpg,http://capitol.hawaii.gov/memberpage.aspx?member=clee&year=2019;https://www.capitol.hawaii.gov/memberpage.aspx?member=senclee&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=senclee&year=2022;http://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=193&year=2023,http://capitol.hawaii.gov/members/legislators.aspx?chamber=H;http://capitol.hawaii.gov/memberpage.aspx?member=clee&year=2019;https://www.capitol.hawaii.gov/memberpage.aspx?member=senclee&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=senclee&year=2022;http://www.capitol.hawaii.gov/members/legislators.aspx,,,,,,,,,,,
