id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/19c22134-0632-4b9a-ac8e-64288ea9c1ba,Abel Herrero,Democratic,34,lower,Abel,Herrero,Male,,,,,https://house.texas.gov/members/photos/3140.jpg?v=88.25,https://house.texas.gov/members/member-page/?district=34,https://house.texas.gov/members/member-page/?district=34,,,,"101 East Main Avenue Robstown, Texas 78380",361-387-0457,,,,,,
ocd-person/2fd6fcd3-9676-42a4-b879-e317576ff18f,Alma Allen,Democratic,131,lower,Alma,Allen,Female,,,,,https://house.texas.gov/members/photos/2100.jpg?v=88.25,https://house.texas.gov/members/member-page/?district=131,https://house.texas.gov/members/member-page/?district=131,,,,"10101 Fondren Road, Suite 500 Houston, TX 77096",713-776-0505,713-776-1490,,,,,
ocd-person/4f98520b-d88b-4053-acc5-3cb2fff14660,Ana Hernandez,Democratic,143,lower,Ana,Hernandez,Female,,,,,https://house.texas.gov/members/photos/3155.jpg?v=88.25,https://house.texas.gov/members/member-page/?district=143,https://house.texas.gov/members/member-page/?district=143,,,,"1233 Mercury Drive Houston, TX 77029",713-675-8596,713-675-8599,,,,,
ocd-person/7f893a20-0547-4ad9-9a94-1084a9ef6469,Ana-Maria Ramos,Democratic,102,lower,Ana-Maria,Ramos,Female,,,,,https://house.texas.gov/members/photos/3735.jpg?v=88.25,https://house.texas.gov/members/member-page/?district=102,https://house.texas.gov/members/member-page/?district=102,,,,,,,,,,,
ocd-person/2f826108-f4d8-4af1-99c8-c0a335fb9c0a,Andrew Murr,Republican,53,lower,Andrew,Murr,Male,,,,,https://house.texas.gov/members/photos/2965.jpg?v=88.25,https://house.texas.gov/members/member-page/?district=53,https://house.texas.gov/members/member-page/?district=53,,,,"507 Earl Garrett Street Kerrville, Texas 78028",830-257-0432,,,,,,
ocd-person/895887ba-73cd-4321-827d-bb06d4eedfdf,Angela Paxton,Republican,8,upper,Angela,Paxton,Female,,"""Angela Paxton was elected to the Texas Senate in November of 2018 and\
\ represents fast-growing Senate District 8 in Collin and Dallas counties.  Her\
\ district is home to professional sports headquarters, dozens of Fortune 1000 companies,\
\ countless entrepreneurs and small businesses, and top-rated public schools.  A\
\ secondary math teacher and school counselor for more than 20 years, she is the\
\ first educator elected to the Texas Senate in over two decades.  Senator Paxton\
\ describes her job in three words: Listen. Learn. Lead. \r \r Senator Paxton is\
\ an adopted child and the first person in her family to graduate from college.\
\  She earned an undergraduate degree in Mathematical Science from Baylor University\
\ and a Master of Science in Education from the University of Houston-Clear Lake.\
\ \r \r Senator Paxton leverages her background in technology, expertise as an educator,\
\ experience as a small business owner, and deep roots in Collin County and North\
\ Dallas to advocate for her constituents and leads on policy that elevates educational\
\ and economic opportunity and human dignity. \r \r In the 86th Legislature, she\
\ authored the Texas Property Tax Reform and Transparency Act of 2019   (SB 2) and\
\ the Omnibus Human Trafficking Prevention Act (SB 20).  She supported the constitutional\
\ amendment prohibiting a state income tax (HJR 38) and authored legislation to\
\ improve resources for students with dyslexia (SB 2075).  Senator Paxton also supported\
\ critical legislation to increase teacher pay and mental health legislation.\r\
\ \r Senator Paxton currently serves as Vice-Chair of the Senate Property Tax Committee\
\ and sits on the Senate committees for Business & Commerce, Education, and Natural\
\ Resources & Economic Development.  She was also appointed to the Texas Sunset\
\ Commission and Senate Redistricting Committee by Lt. Governor Dan Patrick.\r \r\
\ Senator Paxton and her husband, Texas Attorney General Ken Paxton, met as students\
\ at Baylor University and have been married since 1986.  They have four grown children\
\ and are members of Prestonwood Baptist Church in Plano.""",,,https://senate.texas.gov/members/d08/img/Paxton_2019.jpg,https://senate.texas.gov/member.php?d=8,https://senate.texas.gov/member.php?d=8,,,,,,,,,,,
ocd-person/aa0d12c3-c318-4c97-a0d4-c63795ec50d9,Angelia Orr,Republican,13,lower,Angelia,Orr,,,,,,https://house.texas.gov/members/photos/4340.jpg?v=88.25,,,,,,"214 E. Elm Street Hillsboro, Texas 76645",254-580-9008,,,,,,
ocd-person/2a9478ef-b573-4de6-ab96-bb3f6091346f,Angie Chen Button,Republican,112,lower,Angie,Button,Female,,,,,https://house.texas.gov/members/photos/2510.jpg?v=88.25,https://house.texas.gov/members/member-page/?district=112,https://house.texas.gov/members/member-page/?district=112,,,,"1201 International Parkway #130 Richardson, TX 75081",972-234-8980,972-470-0789,,,,,
ocd-person/45f3ddfb-5994-4f05-b2c8-e0e3b2a99c47,Ann Johnson,Democratic,134,lower,Ann,Johnson,Female,,,,,https://house.texas.gov/members/photos/3985.jpg?v=88.25,https://house.texas.gov/members/member-page/?district=134,https://house.texas.gov/members/member-page/?district=134,,,,"5601 West Loop S Suite C218 Houston, Texas 77081",713-592-0006,,,,,,
ocd-person/e2d786e9-5e46-4807-be42-546203016996,Armando Martinez,Democratic,39,lower,Armando,Martinez,Male,,,,,https://house.texas.gov/members/photos/3780.jpg?v=88.25,https://house.texas.gov/members/member-page/?district=39,https://house.texas.gov/members/member-page/?district=39,,,,"914 W. Pike Blvd., Weslaco, TX 78596",956-447-9473,956-447-8683,,,,,
