id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/b5e2b0b8-ae2a-4852-9c40-c9bf4a32fe1a,Aaron Freeman,Republican,32,upper,Aaron,Freeman,,Senator.Freeman@iga.in.gov,,,,https://cdn.zephyrcms.com/a664e2a6-fb83-4186-82cc-d4e33ff0591f/-/progressive/yes/-/format/jpeg/-/scale_crop/200x300/center/-/stretch/off/2021-freeman-2.jpg,http://iga.in.gov/legislative/2021/legislators/legislator_aaron_freeman_1;https://www.indianasenaterepublicans.com/freeman,http://iga.in.gov/legislative/2021/legislators/legislator_aaron_freeman_1;https://api.iga.in.gov/2021/legislators/aaron_freeman_1;https://www.indianasenaterepublicans.com/senators;https://www.indianasenaterepublicans.com/freeman,,,,,,,,,,,
ocd-person/3e2f70f5-2f3a-425f-99ed-c7277eb2f13c,Alan Morrison,Republican,42,lower,Alan,Morrison,,,,,,https://www.indianahouserepublicans.com/clientuploads/directory/members/Main_List/Morrison_Main_list.jpg,http://iga.in.gov/legislative/2021/legislators/legislator_alan_morrison_1115;https://www.indianahouserepublicans.com/members/leadership/alan-morrison/?back=members;https://www.indianahouserepublicans.com/members/general/alan-morrison/?back=members,http://iga.in.gov/legislative/2021/legislators/legislator_alan_morrison_1115;https://api.iga.in.gov/2021/legislators/alan_morrison_1115;https://www.indianahouserepublicans.com/members/leadership/alan-morrison/?back=members;https://www.indianahouserepublicans.com/members/;https://www.indianahouserepublicans.com/members/general/alan-morrison/?back=members,,,,,,,,,,,
ocd-person/f22b3c5a-950d-4e0c-83c8-bf9a7c005c73,Andrea Hunley,Democratic,46,upper,Andrea,Hunley,,s46@iga.in.gov,,,,https://indianasenatedemocrats.org/wp-content/uploads/2022/12/Senator-Hunley_Hoosier-Profile-Pic-600x900-2.jpg,https://indianasenatedemocrats.orghttps://www.indianasenatedemocrats.org/s46,https://www.indianasenatedemocrats.org/senators/;https://www.indianasenatedemocrats.org/s46,,,,,,,,,,,
ocd-person/85c3a6e4-8292-4e3f-a8f4-475aede6b9d6,Andy Zay,Republican,17,upper,Andy,Zay,,Senator.Zay@iga.in.gov,,,,https://cdn.zephyrcms.com/8b7ce1da-cb9b-4548-a41c-0877c65a7bcf/-/progressive/yes/-/format/jpeg/-/scale_crop/200x300/center/-/stretch/off/2021-zay-2.jpg,http://iga.in.gov/legislative/2021/legislators/legislator_andy_zay_1;https://www.indianasenaterepublicans.com/zay,http://iga.in.gov/legislative/2021/legislators/legislator_andy_zay_1;https://api.iga.in.gov/2021/legislators/andy_zay_1;https://www.indianasenaterepublicans.com/senators;https://www.indianasenaterepublicans.com/zay,,,,,,,,,,,
ocd-person/a8ed53f7-00fb-428b-a629-7532efaf902d,Beau Baird,Republican,44,lower,Beau,Baird,,,,,,https://www.indianahouserepublicans.com/clientuploads/directory/members/Main_List/Baird_Main_List.jpg,http://iga.in.gov/legislative/2021/legislators/legislator_beau_baird_1;https://www.indianahouserepublicans.com/members/general/beau-baird/?back=members,http://iga.in.gov/legislative/2021/legislators/legislator_beau_baird_1;https://api.iga.in.gov/2021/legislators/beau_baird_1;https://www.indianahouserepublicans.com/members/general/beau-baird/?back=members;https://www.indianahouserepublicans.com/members/,,,,,,,,,,,
ocd-person/172ba652-d80a-45cd-a387-f072925561f7,Becky Cash,Republican,25,lower,Becky,Cash,,,,,,https://www.indianahouserepublicans.com/clientuploads/directory/members/Main_List/Cash_Main_list.jpg,https://www.indianahouserepublicans.com/members/general/becky-cash/?back=members,https://www.indianahouserepublicans.com/members/general/becky-cash/?back=members;https://www.indianahouserepublicans.com/members/,,,,,,,,,,,
ocd-person/ea2c35cb-7071-43de-8dc6-e91756d03f11,Ben Smaltz,Republican,52,lower,Ben,Smaltz,,,,,,https://www.indianahouserepublicans.com/clientuploads/directory/members/Main_List/Smaltz_Main_List.jpg,http://iga.in.gov/legislative/2021/legislators/legislator_ben_smaltz_1118;https://www.indianahouserepublicans.com/members/general/ben-smaltz/?back=members,http://iga.in.gov/legislative/2021/legislators/legislator_ben_smaltz_1118;https://api.iga.in.gov/2021/legislators/ben_smaltz_1118;https://www.indianahouserepublicans.com/members/general/ben-smaltz/?back=members;https://www.indianahouserepublicans.com/members/,,,,,,,,,,,
ocd-person/a1002ff1-ffd8-4d82-8db9-3a8295ca5e06,Blake Doriot,Republican,12,upper,Blake,Doriot,,Senator.Doriot@iga.in.gov,,,,https://cdn.zephyrcms.com/6e687e05-6d5e-450b-a8b4-f08c648001c2/-/progressive/yes/-/format/jpeg/-/scale_crop/200x300/center/-/stretch/off/doriot-website.jpg,http://iga.in.gov/legislative/2021/legislators/legislator_blake_doriot_1;https://www.indianasenaterepublicans.com/doriot,http://iga.in.gov/legislative/2021/legislators/legislator_blake_doriot_1;https://api.iga.in.gov/2021/legislators/blake_doriot_1;https://www.indianasenaterepublicans.com/senators;https://www.indianasenaterepublicans.com/doriot,,,,,,,,,,,
ocd-person/5fd5f8d8-b47c-4b69-ba1a-d89f0fb106a7,Blake Johnson,Democratic,100,lower,Blake,Johnson,,,,,,https://indianahousedemocrats.org/images/made/images/remote/https_assets.indianahousedemocrats.org/members/Headshots/johnson_2020_blake_web_800_999_80.jpg,http://iga.in.gov/legislative/2021/legislators/legislator_blake_johnson_1;https://indianahousedemocrats.org/members/blake-johnson,http://iga.in.gov/legislative/2021/legislators/legislator_blake_johnson_1;https://api.iga.in.gov/2021/legislators/blake_johnson_1;https://indianahousedemocrats.org/members/blake-johnson/full;https://indianahousedemocrats.org/members,,,,,,,,,,,
ocd-person/6629fcea-f482-4e63-872d-d2f8734502ca,Brad Barrett,Republican,56,lower,Brad,Barrett,,,,,,https://www.indianahouserepublicans.com/clientuploads/directory/members/Main_List/Barrett_mainlist3.png,http://iga.in.gov/legislative/2021/legislators/legislator_bradford_barrett_1;https://www.indianahouserepublicans.com/members/general/brad-barrett/?back=members,http://iga.in.gov/legislative/2021/legislators/legislator_bradford_barrett_1;https://api.iga.in.gov/2021/legislators/bradford_barrett_1;https://www.indianahouserepublicans.com/members/general/brad-barrett/?back=members;https://www.indianahouserepublicans.com/members/,,,,,,,,,,,
