id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/193dce49-ab25-4608-b4d2-65d80fd3d46c,Alex Ramel,Democratic,40,lower,Alex,Ramel,Male,alex.ramel@leg.wa.gov,,,,https://app.leg.wa.gov/ContentParts/MemberDirectory/LargePhoto?m=30127,http://www.leg.wa.gov/house/representatives/Pages/default.aspx;https://housedemocrats.wa.gov/Ramel/,http://www.leg.wa.gov/house/representatives/Pages/default.aspx;https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=House,,,,,,,,,,,
ocd-person/ad28df67-a1bf-4580-b55f-f0917c6e69b2,Alex Ybarra,Republican,13,lower,Alex,Ybarra,Male,alex.ybarra@leg.wa.gov,,,,https://app.leg.wa.gov/ContentParts/MemberDirectory/LargePhoto?m=29318,http://houserepublicans.wa.gov/Alex-Ybarra/;http://www.leg.wa.gov/house/representatives/Pages/default.aspx;http://AlexYbarra.houserepublicans.wa.gov/,http://www.leg.wa.gov/house/representatives/Pages/default.aspx;https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=House,,,,,,,,,,,
ocd-person/b735531c-ec99-4e19-9f43-967d951f8010,Alicia Rule,Democratic,42,lower,Alicia,Rule,Female,Alicia.Rule@leg.wa.gov,,,,https://app.leg.wa.gov/ContentParts/MemberDirectory/LargePhoto?m=31533,https://housedemocrats.wa.gov/Rule/;http://www.leg.wa.gov/house/representatives/Pages/default.aspx,http://www.leg.wa.gov/house/representatives/Pages/default.aspx;https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=House,,,,,,,,,,,
ocd-person/80548fd7-06a0-44f1-b121-7caae4819ed6,Amy Walen,Democratic,48,lower,Amy,Walen,Female,amy.walen@leg.wa.gov,,,,https://app.leg.wa.gov/ContentParts/MemberDirectory/LargePhoto?m=29109,http://housedemocrats.wa.gov/legislators/Amy-Walen/;http://www.leg.wa.gov/house/representatives/Pages/default.aspx;https://housedemocrats.wa.gov/Walen/,http://www.leg.wa.gov/house/representatives/Pages/default.aspx;https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=House,,,,,,,,,,,
ocd-person/9c1fefff-fa5a-49aa-90ca-a9ca80b6f669,Andrew Barkis,Republican,2,lower,Andrew,Barkis,Male,andrew.barkis@leg.wa.gov,,,,https://app.leg.wa.gov/ContentParts/MemberDirectory/LargePhoto?m=24075,http://houserepublicans.wa.gov/Andrew-Barkis/;http://www.leg.wa.gov/house/representatives/Pages/default.aspx;http://AndrewBarkis.houserepublicans.wa.gov/,http://www.leg.wa.gov/house/representatives/Pages/default.aspx;https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=House,,,,,,,,,,,
ocd-person/7c66f731-b19a-4855-af96-0dbd0ff0eb7a,Andy Billig,Democratic,3,upper,Andy,Billig,Male,andy.billig@leg.wa.gov,,,,https://app.leg.wa.gov/ContentParts/MemberDirectory/LargePhoto?m=15811,http://sdc.wastateleg.org/Billig/;http://www.leg.wa.gov/senate/senators/Pages/default.aspx,http://www.leg.wa.gov/senate/senators/Pages/default.aspx;https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=Senate,,,,"25 W Main Ave.; Suite #237 Spokane, WA; 99201-5090",509-209-2427,,,,,,
ocd-person/e8716b1c-7767-4a07-b0a8-346e6fe175f5,Ann Rivers,Republican,18,upper,Ann,Rivers,,ann.rivers@leg.wa.gov,,,,https://app.leg.wa.gov/ContentParts/MemberDirectory/LargePhoto?m=15814,http://AnnRivers.src.wastateleg.org/;http://www.leg.wa.gov/senate/senators/Pages/default.aspx,http://www.leg.wa.gov/senate/senators/Pages/default.aspx;https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=Senate,,,,,,,,,,,
ocd-person/50c73eec-2f66-450b-b8b4-b8bce995e221,Annette Cleveland,Democratic,49,upper,Annette,Cleveland,Female,annette.cleveland@leg.wa.gov,,,,https://app.leg.wa.gov/ContentParts/MemberDirectory/LargePhoto?m=17294,http://sdc.wastateleg.org/Cleveland/;http://www.leg.wa.gov/senate/senators/Pages/default.aspx,http://www.leg.wa.gov/senate/senators/Pages/default.aspx;https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=Senate,,,,"10000 NE 7th Ave; Suite 330-G Vancouver, WA; 98685",,,,,,,
ocd-person/aebe068c-accc-4740-9e0d-97d20404ee95,April Berg,Democratic,44,lower,April,Berg,Female,April.Berg@leg.wa.gov,,,,https://app.leg.wa.gov/ContentParts/MemberDirectory/LargePhoto?m=31534,https://housedemocrats.wa.gov/Berg/;http://www.leg.wa.gov/house/representatives/Pages/default.aspx,http://www.leg.wa.gov/house/representatives/Pages/default.aspx;https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=House,,,,,,,,,,,
ocd-person/ee68f6b7-3cb2-4269-90df-ce11e4027c52,April Connors,Republican,8,lower,April,Connors,,,,,,https://app.leg.wa.gov/ContentParts/MemberDirectory/LargePhoto?m=34027,http://AprilConnors.houserepublicans.wa.gov/,https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=House,,,,,,,,,,,
