id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/5a87d637-4763-44a1-b763-a40c9a30b67e,Abraham Aiyash,Democratic,9,lower,Abraham,Aiyash,Male,abrahamaiyash@house.mi.gov,,,,,https://housedems.com/abraham-aiyash/,https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.house.mi.gov/AllRepresentatives;https://housedems.com/abraham-aiyash/;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/788d408d-cb80-43fd-802a-4778a930894d,Alabas Farhat,Democratic,3,lower,Alabas,Farhat,,AlabasFarhat@house.mi.gov,,,,,,https://housedems.com/Alabas-Farhat/;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/81da0894-0569-4c8d-9c4e-befd39650fee,Alicia St. Germaine,Republican,62,lower,Alicia,St. Germaine,,AliciaStGermaine@house.mi.gov,,,,https://www.house.mi.gov/media/Representatives/St. Germaine-062.jpg,,https://www.house.mi.gov/repdetail/repAliciaSt. Germaine;https://www.house.mi.gov/AllRepresentatives;http://RepStGermaine.com,,,,,,,,,,,
ocd-person/5f160dff-1ce1-4606-a469-fdd08125beb4,Amos O'Neal,Democratic,94,lower,Amos,O'Neal,Male,AmosOneal@house.mi.gov,,,,,https://housedems.com/amos-oneal/,https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.house.mi.gov/AllRepresentatives;https://housedems.com/amos-oneal/;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/77456985-a7be-4384-9dfe-70373b8031f6,Andrew W. Beeler,Republican,64,lower,Andrew W.,Beeler,Male,AndrewBeeler@house.mi.gov,,,,,http://repbeeler.com,https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.house.mi.gov/AllRepresentatives;http://repbeeler.com;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/154e0e09-4da4-449d-9ebe-58c0b720e513,Andrew Fink,Republican,35,lower,Andrew,Fink,Male,AndrewFink@house.mi.gov,,,,https://dtj5wlj7ond0z.cloudfront.net/uploads/2021/01/HS_FINK_0121_NSC_7667-scaled.jpg,http://repfink.com,https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.house.mi.gov/AllRepresentatives;http://repfink.com;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/527d59db-a346-4a91-8f98-e1b57947b58c,Angela Rigas,Republican,79,lower,Angela,Rigas,,AngelaRigas@house.mi.gov,,,,https://www.house.mi.gov/media/Representatives/Rigas-079.jpg,,https://www.house.mi.gov/repdetail/repAngelaRigas;https://www.house.mi.gov/AllRepresentatives;http://RepRigas.com,,,,,,,,,,,
ocd-person/0db39d07-a543-4e52-82b0-457f406855e8,Angela Witwer,Democratic,76,lower,Angela,Witwer,Female,AngelaWitwer@house.mi.gov,,,,https://housedems.com/sites/default/files/Images/Representative_Images/D071_Angela_Witwer/071_Witwer.jpg,https://housedems.com/witwer,https://housedems.com/witwer;https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.house.mi.gov/AllRepresentatives;https://housedems.com/witwer;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/3a9d71dc-da5b-4bd3-8062-c8387292dc52,Ann M. Bollin,Republican,49,lower,Ann M.,Bollin,Female,AnnBollin@house.mi.gov,,,,https://dtj5wlj7ond0z.cloudfront.net/uploads/2020/07/HS_AnnBollin_0119-scaled.jpg,http://gophouse.org/representatives/southeast/bollin/,http://gophouse.org/representatives/southeast/bollin/;https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.house.mi.gov/AllRepresentatives;http://RepBollin.com;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/6d11944d-f19f-4697-811c-0c9dca750c57,Aric Nesbitt,Republican,20,upper,Aric,Nesbitt,Male,senanesbitt@senate.michigan.gov,,,,https://www.misenategop.com/wp-content/uploads/2019/01/Nesbitt-580x770.jpg,https://www.senatoraricnesbitt.com/;https://www.senatoraricnesbitt.com/contact;https://www.senatoraricnesbitt.com;https://www.senatoraricnesbitt.com/contact,https://www.senatoraricnesbitt.com/;https://senate.michigan.gov/senatorinfo_list.html;https://senate.michigan.gov/senators/SenatorData.json;https://senate.michigan.gov/senators/senatorinfo_list.html,,,,,,,,,,,
ocd-person/80ccf9a5-7303-4218-be3e-0ab6f8e90eee,Betsy Coffia,Democratic,103,lower,Betsy,Coffia,,BetsyCoffia@house.mi.gov,,,,,,https://housedems.com/Betsy-Coffia/;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/5355f558-55bb-4f29-81eb-89179f55d69a,Bill Schuette,Republican,95,lower,Bill,Schuette,,BillSchuette@house.mi.gov,,,,https://www.house.mi.gov/media/Representatives/Schuette-095.jpg,,https://www.house.mi.gov/repdetail/repBillSchuette;https://www.house.mi.gov/AllRepresentatives;http://RepSchuette.com,,,,,,,,,,,
ocd-person/04a88313-6387-44ab-972c-b000b3c316f4,Brad Paquette,Republican,37,lower,Brad,Paquette,Male,bradpaquette@house.mi.gov,,,,https://dtj5wlj7ond0z.cloudfront.net/uploads/2020/07/HS_PAQUETTE_0119.jpg,http://gophouse.org/representatives/southwest/paquette/,http://gophouse.org/representatives/southwest/paquette/;https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.house.mi.gov/AllRepresentatives;http://gophouse.org/representatives/southwest/paquette/;https://www.house.mi.gov/AllRepresentatives;http://RepPaquette.com,,,,,,,,,,,
ocd-person/38c62407-9471-40de-8a1c-44142573c79a,Bradley Slagh,Republican,85,lower,Bradley,Slagh,Male,BradleySlagh@house.mi.gov,,,,https://dtj5wlj7ond0z.cloudfront.net/uploads/2021/02/HS_SLAGH_0221_NSC_1065-scaled.jpg,http://gophouse.org/representatives/westmi/slagh/,http://gophouse.org/representatives/westmi/slagh/;https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.house.mi.gov/AllRepresentatives;http://gophouse.org/representatives/westmi/slagh/;https://www.house.mi.gov/AllRepresentatives;http://RepSlagh.com,,,,,,,,,,,
ocd-person/0019e62f-6671-4085-b2d3-55d3c4a23717,Brenda Carter,Democratic,53,lower,Brenda,Carter,Female,BrendaCarter@house.mi.gov,,,,https://housedems.com/sites/default/files/Images/Representative_Images/D029_Brenda_Carter/029_Carter.jpg,https://housedems.com/brenda-carter,https://housedems.com/brenda-carter;https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.house.mi.gov/AllRepresentatives;https://housedems.com/brenda-carter;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/172b6e7c-3765-4978-bc03-3d19a92d5164,Brian BeGole,Republican,71,lower,Brian,BeGole,,BrianBeGole@house.mi.gov,,,,https://www.house.mi.gov/media/Representatives/BeGole-071.jpg,,https://www.house.mi.gov/repdetail/repBrianBeGole;https://www.house.mi.gov/AllRepresentatives;http://RepBeGole.com,,,,,,,,,,,
ocd-person/c925c469-552f-448d-a89f-ef456e15da21,Bryan Posthumus,Republican,90,lower,Bryan,Posthumus,Male,BryanPosthumus@house.mi.gov,,,,https://dtj5wlj7ond0z.cloudfront.net/uploads/2021/01/Bryan-Posthumus_HS.jpg,http://repposthumus.com,https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.house.mi.gov/AllRepresentatives;http://repposthumus.com;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/60ae519b-a739-4dc5-80bb-c0161269607a,Cameron Cavitt,Republican,106,lower,Cameron,Cavitt,,CamCavitt@house.mi.gov,,,,https://www.house.mi.gov/media/Representatives/Cavitt-106.jpg,,https://www.house.mi.gov/repdetail/repCameronCavitt;https://www.house.mi.gov/AllRepresentatives;http://RepCavitt.com,,,,,,,,,,,
ocd-person/86812673-e63a-4f36-aa3e-26de84380657,Carol Glanville,Democratic,84,lower,Carol,Glanville,Female,caglanville@house.mi.gov,,,,,https://housedems.com/carol-glanville/,https://www.house.mi.gov/AllRepresentatives;https://housedems.com/carol-glanville/;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/2f75473d-b2e6-49fd-914e-1e552ebc38a6,Carrie Rheingans,Democratic,47,lower,Carrie,Rheingans,,CarrieRheingans@house.mi.gov,,,,,,https://housedems.com/Carrie-Rheingans/;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/4c46fce6-3e67-43a0-b396-5130a004c2a4,Christine Morse,Democratic,40,lower,Christine,Morse,Female,ChristineMorse@house.mi.gov,,,,,https://housedems.com/christine-morse/,https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.house.mi.gov/AllRepresentatives;https://housedems.com/christine-morse/;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/b0804883-3f8c-4341-bbc1-26a0346b37c4,Curtis VanderWall,Republican,102,lower,Curtis,VanderWall,Male,CurtisVanderWall@house.mi.gov,,,,https://senate.michigan.gov/_images/35th.jpg,https://www.senatorcurtvanderwall.com/;https://www.senatorcurtvanderwall.com/contact,https://www.senatorcurtvanderwall.com/;https://senate.michigan.gov/senatorinfo_list.html;http://RepVanderWall.com;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/7e3c6932-35bd-43f6-b1ca-d8fd6d5c0040,Cynthia Neeley,Democratic,70,lower,Cynthia,Neeley,Female,cynthianeeley@house.mi.gov,,,,,https://housedems.com/cynthia-neeley/,https://www.house.mi.gov/MHRPublic/frmRepListMilenia.aspx?all=true;https://www.house.mi.gov/AllRepresentatives;https://housedems.com/cynthia-neeley/;https://www.house.mi.gov/AllRepresentatives,,,,,,,,,,,
ocd-person/f87c906f-bf6e-41db-8ab6-cf736ba589d4,Dale Zorn,Republican,34,lower,Dale,Zorn,Male,DaleZorn@house.mi.gov,,,,https://www.house.mi.gov/media/Representatives/Zorn-034.jpg,http://www.senate.michigan.gov/zorn;https://senate.michigan.gov/zorn;http://www.SenatorDaleZorn.com/contact/,http://www.senate.michigan.gov/zorn;https://senate.michigan.gov/senatorinfo_list.html;https://www.house.mi.gov/repdetail/repDaleZorn;https://www.house.mi.gov/AllRepresentatives;http://RepZorn.com,,,,,,,,,,,
ocd-person/30afc35e-fa35-448c-b303-e0f6cc456c77,Dan Lauwers,Republican,25,upper,Dan,Lauwers,Male,sendlauwers@senate.michigan.gov,,,,https://www.misenategop.com/wp-content/uploads/2023/01/Lauwers-580x770.jpg,https://www.senatordanlauwers.com/;https://www.senatordanlauwers.com/contact;https://www.senatordanlauwers.com;https://www.senatordanlauwers.com/contact,https://www.senatordanlauwers.com/;https://senate.michigan.gov/senatorinfo_list.html;https://senate.michigan.gov/senators/SenatorData.json;https://senate.michigan.gov/senators/senatorinfo_list.html,,,,,,,,,,,
