id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/102ffcb1-3028-401f-b74f-6f45db25e05e,Alexander Kolodin,Republican,3,lower,Alexander,Kolodin,,akolodin@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/56leg/House/KOLODIN.jpg,https://www.azleg.gov/House/House-member/?legislature=56&session=127&legislator=2174,https://www.azleg.gov/memberroster/?body=H,,,,,,,,,,,
ocd-person/6dba6afa-b274-4273-b8c6-270d27214eee,Alma Hernandez,Democratic,20,lower,Alma,Hernandez,Female,ahernandez@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/56leg/House/HERNANDEZ_A.jpg,https://www.azleg.gov/House/House-member/?legislature=54&session=122&legislator=1893;https://www.linkedin.com/in/alma-hernandez-48139a188/;https://www.youtube.com/channel/UCbBfWrdnhNiGe0NPq2j-3NQ/featured;https://www.azleg.gov/House/House-member/?legislature=55&session=123&legislator=2033;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2033;https://www.azleg.gov/House/House-member/?legislature=56&session=127&legislator=2168,http://www.azleg.gov/MemberRoster/?body=H;https://www.azleg.gov/memberroster/?body=H,,,,,,,almaforarizona,,repahernandez,AlmaforAZ,
ocd-person/6143aa75-8c8e-4e34-9c6c-810169a81333,Amish Shah,Democratic,5,lower,Amish,Shah,Male,ashah@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/56leg/House/SHAH.jpg,https://www.azleg.gov/House/House-member/?legislature=54&session=122&legislator=1908;https://www.linkedin.com/in/amish-shah-2b73a4a9/;https://www.azleg.gov/House/House-member/?legislature=55&session=123&legislator=2048;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2048;https://www.azleg.gov/House/House-member/?legislature=56&session=127&legislator=2197,http://www.azleg.gov/MemberRoster/?body=H;https://www.azleg.gov/memberroster/?body=H,,,,,,,DrAmishShah,,,amishforarizona,
ocd-person/87e6206a-c16e-4038-a86f-0d5c88b993e3,Analise Ortiz,Democratic,24,lower,Analise,Ortiz,,analise.ortiz@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/56leg/House/ORTIZ.jpg,https://www.azleg.gov/House/House-member/?legislature=56&session=127&legislator=2178,https://www.azleg.gov/memberroster/?body=H,,,,,,,,,,,
ocd-person/ddfd6808-4722-4fd4-880a-2053ac4e7223,Anna Hernandez,Democratic,24,upper,Anna,Hernandez,,anna.hernandez@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/56leg/Senate/HERNANDEZ.jpg,https://www.azleg.gov/Senate/Senate-member/?legislature=56&session=127&legislator=2129,https://www.azleg.gov/memberroster/?body=S,,,,,,,,,,,
ocd-person/f4ea36ef-3e74-4753-be45-43d3029a8a0d,Anthony Kern,Republican,27,upper,Anthony,Kern,,akern@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/56leg/Senate/KERN.gif,https://www.azleg.gov/Senate/Senate-member/?legislature=56&session=127&legislator=2133,https://www.azleg.gov/memberroster/?body=S,,,,,,,,,,,
ocd-person/226f30cc-1c58-49e3-bbf3-5f3713d988a5,Athena Salman,Democratic,8,lower,Athena,Salman,Female,asalman@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/56leg/House/SALMAN.jpg,https://www.azleg.gov/House/House-member/?legislature=54&session=122&legislator=1885;https://www.linkedin.com/in/athenasalman/;https://www.youtube.com/channel/UCrgREiif7uX6APBbo_vA8bQ;https://www.azleg.gov/House/House-member/?legislature=55&session=123&legislator=2026;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2026;https://www.azleg.gov/House/House-member/?legislature=56&session=127&legislator=2193,http://www.azleg.gov/MemberRoster/?body=H;https://www.azleg.gov/memberroster/?body=H,,,,,,,athenasalman,,athenasalman,SalmanforAZ,
ocd-person/2af31c38-60fa-45ff-8d84-2406888ec74c,Austin Smith,Republican,29,lower,Austin,Smith,,austin.smith@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/56leg/House/SMITH.jpg,https://www.azleg.gov/House/House-member/?legislature=56&session=127&legislator=2198,https://www.azleg.gov/memberroster/?body=H,,,,,,,,,,,
ocd-person/e632ebef-383b-4f87-a2b6-14fdfa235df6,Barbara Parker,Republican,10,lower,Barbara,Parker,,bparker@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/56leg/House/PARKER_B.jpg,https://www.azleg.gov/House/House-member/?legislature=56&session=127&legislator=2185,https://www.azleg.gov/memberroster/?body=H,,,,,,,,,,,
ocd-person/6d71c8d3-c677-4f4b-96eb-411fbc464c2c,Ben Toma,Republican,27,lower,Ben,Toma,Male,btoma@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/56leg/House/TOMA.jpg,https://www.azleg.gov/House/House-member/?legislature=54&session=122&legislator=1888;https://www.linkedin.com/in/ben-toma-1b840a12/;https://www.azleg.gov/House/House-member/?legislature=55&session=123&legislator=2029;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2029;https://www.azleg.gov/House/House-member/?legislature=56&session=127&legislator=2202,http://www.azleg.gov/MemberRoster/?body=H;https://www.azleg.gov/memberroster/?body=H,,,,,,,RepBenToma,,,ben.toma.37,
