id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/5d1fade2-4678-406c-b4ed-657baed1db2b,Adrian Fisher,Democratic,16,lower,Adrian,Fisher,,hse016@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep16.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=16,https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=16,,,,"P. O. Box 7563 Monroe, LA 71211",318-556-7001,318-556-7006,,,,,
ocd-person/3937cef1-8c62-428c-8837-aa6a6a8b60e7,Aimee Adatto Freeman,Democratic,98,lower,,,,hse098@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep98.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=98,https://house.louisiana.gov/H_Reps/members.aspx?ID=98;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo,,,,"P.O. Box 850901 New Orleans, LA 70185",504-861-1614,504-861-1616,,,,,
ocd-person/5032448a-7275-4a02-8dc1-d251cdde8ad9,Alan Seabaugh,Republican,5,lower,Alan,Seabaugh,,seabaugha@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep5.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=5,https://house.louisiana.gov/H_Reps/members.aspx?ID=5;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo,,,,"401 Market Street, Suite 1150 Shreveport, LA 71101",318-676-7990,318-676-7992,,,,,
ocd-person/967fa557-fcdc-4a75-a13e-dabf05b85905,Alonzo L. Knox,Democratic,93,lower,,,,hse093@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep93.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=93,https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=93,,,,"1239 Baronne Street New Orleans, LA 70113",504-568-3101,504-568-3104,,,,,
ocd-person/bd179bf7-f90d-4e3a-baea-a590c3002586,Barbara Reich Freiberg,Republican,70,lower,,,,hse070@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep70.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=70,https://house.louisiana.gov/H_Reps/members.aspx?ID=70;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo,,,,"5800 One Perkins Place, Suite 7A Baton Rouge, LA 70808",225-763-3500,225-763-3506,,,,,
ocd-person/ad514eed-2832-4ae3-a0c5-62d8f2721297,Barbara Carpenter,Democratic,63,lower,Barbara W.,Carpenter,,carpenterb@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep63.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=63,https://house.louisiana.gov/H_Reps/members.aspx?ID=63;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo,,,,"1975 Harding Blvd. Baton Rouge, LA 70807",225-771-5674,225-771-5673,,,,,
ocd-person/2d304e88-d8e7-4c99-9725-cb1c75844a35,Barrow Peacock,Republican,37,upper,Barrow,Peacock,,peacockb@legis.la.gov,,,,https://senate.la.gov/SenatorPics/Sen37.jpg,https://senate.la.gov/smembers.aspx?ID=37,https://senate.la.gov/smembers.aspx?ID=37;https://senate.la.gov/Senators_FullInfo,,,,"1619 Jimmie Davis Highway Bossier City, LA 71112",318-741-7180,318-741-7182,,,,,
ocd-person/666f0cb4-0b64-4594-9c8f-aa53f77db48a,Barry Ivey,Republican,65,lower,Barry,Ivey,,iveyb@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep65.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=65,https://house.louisiana.gov/H_Reps/members.aspx?ID=65;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo,,,,"P. O. Box 78010 Baton Rouge, LA 70837",225-261-5739,225-261-5741,,,,,
ocd-person/ff5a7b0c-351d-48bd-b448-b3cf24eaa750,Barry Milligan,Republican,38,upper,Barry,Milligan,,sen38@legis.la.gov,,,,https://senate.la.gov/SenatorPics/Sen38.jpg,https://senate.la.gov/smembers.aspx?ID=38,https://senate.la.gov/smembers.aspx?ID=38;https://senate.la.gov/Senators_FullInfo,,,,"531 West 61st Street Shreveport, LA 71106",318-862-3100,318-862-3102,,,,,
ocd-person/cbe53992-3b3c-4ec0-a94a-58ddf96e6edd,Beryl Amedée,Republican,51,lower,Beryl A.,Amedée,,amedeeb@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep51.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=51,https://house.louisiana.gov/H_Reps/members.aspx?ID=51;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo,,,,"302 School Street Houma, LA 70360",985-858-2967,985-858-2968,,,,,
