id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/8b5f6201-6c2f-4847-8d69-737ae776c44b,Brian Pettyjohn,Republican,19,upper,Brian,Pettyjohn,,Brian.Pettyjohn@delaware.gov,,,,https://legis.delaware.gov/images/default-source/Legislators/BrianPettyjohn.jpg?sfvrsn=2,https://legis.delaware.gov/LegislatorDetail?personId=9;https://legis.delaware.gov/LegislatorDetail?personId=9,https://legis.delaware.gov/Senate;https://legis.delaware.gov/json/Senate/GetSenators;https://legis.delaware.gov/LegislatorDetail?personId=9,,,,,,,,,,,
ocd-person/f35b571a-d734-4086-b358-ff21382d802f,Bryan Townsend,Democratic,11,upper,Bryan,Townsend,,Bryan.Townsend@delaware.gov,,,,https://legis.delaware.gov/images/default-source/Legislators/BryanTowsend.jpg?sfvrsn=2,https://legis.delaware.gov/LegislatorDetail?personId=13;https://legis.delaware.gov/LegislatorDetail?personId=13,https://legis.delaware.gov/Senate;https://legis.delaware.gov/json/Senate/GetSenators;https://legis.delaware.gov/LegislatorDetail?personId=13,,,,,,,,,,,
ocd-person/11732933-9dce-46b4-8683-67e8449b315b,Bryan W. Shupe,Republican,36,lower,,,,Bryan.Shupe@delaware.gov,,,,https://legis.delaware.gov/Content/images/placeholder_leg.png,https://legis.delaware.gov/LegislatorDetail?personId=13599;https://legis.delaware.gov/LegislatorDetail?personId=13599,https://legis.delaware.gov/House;https://legis.delaware.gov/json/House/GetRepresentatives;https://legis.delaware.gov/LegislatorDetail?personId=13599,,,,,,,,,,,
ocd-person/5a29dfb1-14b5-4535-b8ee-da8f432d0727,Bryant L. Richardson,Republican,21,upper,Bryant L.,Richardson,,Bryant.Richardson@delaware.gov,,,,https://legis.delaware.gov/images/default-source/Legislators/BryantRichardson.jpg?sfvrsn=2,https://legis.delaware.gov/LegislatorDetail?personId=10;https://legis.delaware.gov/LegislatorDetail?personId=10,https://legis.delaware.gov/Senate;https://legis.delaware.gov/json/Senate/GetSenators;https://legis.delaware.gov/LegislatorDetail?personId=10,,,,,,,,,,,
ocd-person/4f6f337c-16e7-4d39-a503-6b4b36650d2d,Charles S Postles Jr.,Republican,33,lower,Charles S,Postles,,Charles.Postles@delaware.gov,,,,https://legis.delaware.gov/images/default-source/Legislators/CharlesPostles.jpg?sfvrsn=2,https://legis.delaware.gov/LegislatorDetail?personId=3133;https://legis.delaware.gov/LegislatorDetail?personId=3133,https://legis.delaware.gov/House;https://legis.delaware.gov/json/House/GetRepresentatives;https://legis.delaware.gov/LegislatorDetail?personId=3133,,,,,,,,,,,
ocd-person/d187436c-b3d3-4512-9172-b7a868942fe4,Cyndie Romer,Democratic,25,lower,Cyndie,Romer,,cyndie.romer@delaware.gov,,,,,https://legis.delaware.gov/LegislatorDetail?personId=24310,https://legis.delaware.gov/json/House/GetRepresentatives;https://legis.delaware.gov/LegislatorDetail?personId=24310,,,,,,,,,,,
ocd-person/947a912f-49e7-4697-896e-fbcd1bcf41d3,Daniel B. Short,Republican,39,lower,Daniel B.,Short,,Daniel.Short@delaware.gov,,,,https://legis.delaware.gov/images/default-source/Legislators/DanielShort.jpg?sfvrsn=2,https://legis.delaware.gov/LegislatorDetail?personId=89;https://legis.delaware.gov/LegislatorDetail?personId=89,https://legis.delaware.gov/House;https://legis.delaware.gov/json/House/GetRepresentatives;https://legis.delaware.gov/LegislatorDetail?personId=89,,,,,,,,,,,
ocd-person/8c5ff346-9896-489e-be96-db9d46d846da,Darius J. Brown,Democratic,2,upper,,,,Darius.Brown@delaware.gov,,,,https://legis.delaware.gov/Content/images/placeholder_leg.png,https://legis.delaware.gov/LegislatorDetail?personId=13600;https://legis.delaware.gov/LegislatorDetail?personId=13600,https://legis.delaware.gov/Senate;https://legis.delaware.gov/json/Senate/GetSenators;https://legis.delaware.gov/LegislatorDetail?personId=13600,,,,,,,,,,,
ocd-person/44e38555-6698-43cb-aa8b-f47de87ba4e3,Dave G. Lawson,Republican,15,upper,Dave G.,Lawson,,Dave.Lawson@delaware.gov,,,,https://legis.delaware.gov/images/default-source/default-album/DavidLawson.jpg?sfvrsn=0,https://legis.delaware.gov/LegislatorDetail?personId=86;https://legis.delaware.gov/LegislatorDetail?personId=86,https://legis.delaware.gov/Senate;https://legis.delaware.gov/json/Senate/GetSenators;https://legis.delaware.gov/LegislatorDetail?personId=86,,,,,,,,,,,
ocd-person/0b53dd28-648e-4fe1-a05a-36a21ec12e63,David L. Wilson,Republican,18,upper,David L.,Wilson,,David.L.Wilson@delaware.gov,,,,https://legis.delaware.gov/images/default-source/Legislators/DavidWilson.jpg?sfvrsn=2,https://legis.delaware.gov/LegislatorDetail?personId=92;https://legis.delaware.gov/LegislatorDetail?personId=92,https://legis.delaware.gov/House;https://legis.delaware.gov/Senate;https://legis.delaware.gov/json/Senate/GetSenators;https://legis.delaware.gov/LegislatorDetail?personId=92,,,,,,,,,,,
ocd-person/25071aeb-2a5c-4e8b-b166-4a313b3ac22d,David P. Sokola,Democratic,8,upper,David P.,Sokola,,David.Sokola@delaware.gov,,,,https://legis.delaware.gov/images/default-source/Legislators/DavidPSokola.jpg?sfvrsn=2,https://legis.delaware.gov/LegislatorDetail?personId=90;https://legis.delaware.gov/LegislatorDetail?personId=90,https://legis.delaware.gov/Senate;https://legis.delaware.gov/json/Senate/GetSenators;https://legis.delaware.gov/LegislatorDetail?personId=90,,,,,,,,,,,
ocd-person/5c5f5bf8-d155-4911-8e06-eb6cc664859e,DeShanna U Neal,Democratic,13,lower,,,,deshanna.neal@delaware.gov,,,,,https://legis.delaware.gov/LegislatorDetail?personId=24307,https://legis.delaware.gov/json/House/GetRepresentatives;https://legis.delaware.gov/LegislatorDetail?personId=24307,,,,,,,,,,,
ocd-person/7e631da1-ef0f-4c6f-ba17-e5ae2860dad6,Debra Heffernan,Democratic,6,lower,Debra,Heffernan,,Debra.Heffernan@delaware.gov,,,,https://legis.delaware.gov/images/default-source/default-album/DebraHeffernan.jpg?sfvrsn=0,https://legis.delaware.gov/LegislatorDetail?personId=97;https://legis.delaware.gov/LegislatorDetail?personId=97,https://legis.delaware.gov/House;https://legis.delaware.gov/json/House/GetRepresentatives;https://legis.delaware.gov/LegislatorDetail?personId=97,,,,,,,,,,,
ocd-person/07cb3c97-de4e-4210-8c83-b7276c001024,Edward S. Osienski,Democratic,24,lower,Edward S.,Osienski,,Edward.Osienski@delaware.gov,,,,https://legis.delaware.gov/images/default-source/default-album/EdwardOsienski.jpg?sfvrsn=0,https://legis.delaware.gov/LegislatorDetail?personId=112;https://legis.delaware.gov/LegislatorDetail?personId=112,https://legis.delaware.gov/House;https://legis.delaware.gov/json/House/GetRepresentatives;https://legis.delaware.gov/LegislatorDetail?personId=112,,,,,,,,,,,
ocd-person/fb743246-9c86-45f5-95eb-34bc1e11bef1,Eric Buckson,Republican,16,upper,Eric,Buckson,,eric.buckson@delaware.gov,,,,,https://legis.delaware.gov/LegislatorDetail?personId=24305,https://legis.delaware.gov/json/Senate/GetSenators;https://legis.delaware.gov/LegislatorDetail?personId=24305,,,,,,,,,,,
ocd-person/bfab3b33-30ff-45fc-a45f-ae796d43de68,Eric Morrison,Democratic,27,lower,Eric,Morrison,,Eric.Morrison@delaware.gov,,,,,https://legis.delaware.gov/LegislatorDetail?personId=24001;https://legis.delaware.gov/LegislatorDetail?personId=24001,https://legis.delaware.gov/House;https://legis.delaware.gov/json/House/GetRepresentatives;https://legis.delaware.gov/LegislatorDetail?personId=24001,,,,,,,,,,,
