id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/22d8a510-3b36-432a-9d3d-08efe7e74d5e,Adam Neylon,Republican,98,lower,Adam,Neylon,Male,Rep.Neylon@legis.wisconsin.gov,,,,https://docs.legis.wisconsin.gov/2023/legislators/assembly/2492.jpg,https://docs.legis.wisconsin.gov/2017/legislators/assembly/1592;https://docs.legis.wisconsin.gov/2019/legislators/assembly/1892;https://docs.legis.wisconsin.gov/2021/legislators/assembly/2169;https://docs.legis.wisconsin.gov/2021/legislators/assembly/2169,https://docs.legis.wisconsin.gov/2017/legislators/assembly/1592;https://docs.legis.wisconsin.gov/2019/legislators/assembly/1892;https://docs.legis.wisconsin.gov/2021/legislators/assembly/2169;https://docs.legis.wisconsin.gov/2021/legislators/assembly/;https://docs.legis.wisconsin.gov/2023/legislators/assembly/;https://docs.legis.wisconsin.gov/2023/legislators/assembly/2492,,,,,,,,,,,
ocd-person/c4afc94c-3bad-4e77-9f81-de613c406860,Alex Dallman,Republican,41,lower,Alex,Dallman,Male,Rep.Dallman@legis.wisconsin.gov,,,,https://docs.legis.wisconsin.gov/2023/legislators/assembly/2459.jpg,https://docs.legis.wisconsin.gov/2021/legislators/assembly/2256;https://docs.legis.wisconsin.gov/2021/legislators/assembly/2256,https://docs.legis.wisconsin.gov/2021/legislators/assembly/2256;https://docs.legis.wisconsin.gov/2021/legislators/assembly/;https://docs.legis.wisconsin.gov/2023/legislators/assembly/;https://docs.legis.wisconsin.gov/2023/legislators/assembly/2459,,,,,,,,,,,
ocd-person/1638f0f9-1d5a-4790-aee2-63cad736b137,Alex Joers,Democratic,79,lower,Alex,Joers,,Rep.Joers@legis.wisconsin.gov,,,,https://docs.legis.wisconsin.gov/2023/legislators/assembly/2553.jpg,,https://docs.legis.wisconsin.gov/2023/legislators/assembly/;https://docs.legis.wisconsin.gov/2023/legislators/assembly/2553,,,,,,,,,,,
ocd-person/5c70d5df-b7a6-471c-a766-05816ee009a5,Amanda Nedweski,Republican,61,lower,Amanda,Nedweski,,Rep.Nedweski@legis.wisconsin.gov,,,,https://docs.legis.wisconsin.gov/2023/legislators/assembly/2551.jpg,,https://docs.legis.wisconsin.gov/2023/legislators/assembly/;https://docs.legis.wisconsin.gov/2023/legislators/assembly/2551,,,,,,,,,,,
ocd-person/7ec80da8-b6c1-47d1-98bf-d4940cce195d,Amy Binsfeld,Republican,27,lower,Amy,Binsfeld,,Rep.Binsfeld@legis.wisconsin.gov,,,,https://docs.legis.wisconsin.gov/2023/legislators/assembly/2541.jpg,,https://docs.legis.wisconsin.gov/2023/legislators/assembly/;https://docs.legis.wisconsin.gov/2023/legislators/assembly/2541,,,,,,,,,,,
ocd-person/b0101cd0-ad49-466b-a46e-8bb8671cb709,André Jacque,Republican,1,upper,André,Jacque,Male,Sen.Jacque@legis.wisconsin.gov,,,,https://docs.legis.wisconsin.gov/2023/legislators/senate/2419.jpg,https://docs.legis.wisconsin.gov/2019/legislators/senate/1941;https://docs.legis.wisconsin.gov/2021/legislators/senate/2099;https://docs.legis.wisconsin.gov/2021/legislators/senate/2099,https://docs.legis.wisconsin.gov/2019/legislators/senate/1941;https://docs.legis.wisconsin.gov/2021/legislators/senate/2099;https://docs.legis.wisconsin.gov/2021/legislators/senate/;https://docs.legis.wisconsin.gov/2023/legislators/senate/;https://docs.legis.wisconsin.gov/2023/legislators/senate/2419,,,,,,,,,,,
ocd-person/90927533-d9df-4b09-84fa-e49346b106d9,Angie Sapik,Republican,73,lower,Angie,Sapik,,Rep.Sapik@legis.wisconsin.gov,,,,https://docs.legis.wisconsin.gov/2023/legislators/assembly/2557.jpg,,https://docs.legis.wisconsin.gov/2023/legislators/assembly/;https://docs.legis.wisconsin.gov/2023/legislators/assembly/2557,,,,,,,,,,,
ocd-person/0580ebef-0cfa-40ae-a4ea-d960e0ea30ee,Barbara Dittrich,Republican,38,lower,Barbara,Dittrich,Female,Rep.Dittrich@legis.wisconsin.gov,,,,https://docs.legis.wisconsin.gov/2023/legislators/assembly/2460.jpg,https://docs.legis.wisconsin.gov/2019/legislators/assembly/1934;https://docs.legis.wisconsin.gov/2021/legislators/assembly/2132;https://docs.legis.wisconsin.gov/2021/legislators/assembly/2132,https://docs.legis.wisconsin.gov/2019/legislators/assembly/1934;https://docs.legis.wisconsin.gov/2021/legislators/assembly/2132;https://docs.legis.wisconsin.gov/2021/legislators/assembly/;https://docs.legis.wisconsin.gov/2023/legislators/assembly/;https://docs.legis.wisconsin.gov/2023/legislators/assembly/2460,,,,,,,,,,,
ocd-person/54522ac6-81ad-4b83-929f-b94e94b8acb4,Bob Donovan,Republican,84,lower,Bob,Donovan,,Rep.Donovan@legis.wisconsin.gov,,,,https://docs.legis.wisconsin.gov/2023/legislators/assembly/2555.jpg,,https://docs.legis.wisconsin.gov/2023/legislators/assembly/;https://docs.legis.wisconsin.gov/2023/legislators/assembly/2555,,,,,,,,,,,
ocd-person/1c95c957-d9c9-4905-8dc6-37b13272c1f0,Brad Pfaff,Democratic,32,upper,Brad,Pfaff,Male,Sen.Pfaff@legis.wisconsin.gov,,,,https://docs.legis.wisconsin.gov/2023/legislators/senate/2429.jpg,https://docs.legis.wisconsin.gov/2021/legislators/senate/2247;https://docs.legis.wisconsin.gov/2021/legislators/senate/2247,https://docs.legis.wisconsin.gov/2021/legislators/senate/2247;https://docs.legis.wisconsin.gov/2021/legislators/senate/;https://docs.legis.wisconsin.gov/2023/legislators/senate/;https://docs.legis.wisconsin.gov/2023/legislators/senate/2429,,,,,,,,,,,
