id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/8df546a1-e199-4f1c-824b-1ec579b2e5d2,Alice Buckley,Democratic,63,lower,Alice,Buckley,Female,Alice.Buckley@legmt.gov,,,,,https://leg.mt.gov/legislator-information/roster/individual/6863;https://leg.mt.gov/legislator-information/roster/individual/7483,https://leg.mt.gov/legislator-information/roster/individual/6863;https://leg.mt.gov/legislator-information/roster/individual/7483,,,,,,,,,,,
ocd-person/817877aa-a3ac-40a7-9f32-f40204840abf,Amy Regier,Republican,6,lower,Amy,Regier,Female,Amy.Regier@legmt.gov,,,,,https://leg.mt.gov/legislator-information/roster/individual/6891;https://leg.mt.gov/legislator-information/roster/individual/7578,https://leg.mt.gov/legislator-information/roster/individual/6891;https://leg.mt.gov/legislator-information/roster/individual/7578,,,,,,,,,,,
ocd-person/2dcaf4be-0227-4ced-b01c-aacd8376c45a,Andrea Olsen,Democratic,50,upper,Andrea,Olsen,Female,Andrea.Olsen@legmt.gov,,,,,https://leg.mt.gov/legislator-information/roster/individual/4842;https://leg.mt.gov/legislator-information/roster/individual/5159;https://leg.mt.gov/legislator-information/roster/individual/6941;https://leg.mt.gov/legislator-information/roster/individual/7573,https://leg.mt.gov/legislator-information/?session_select=111;https://leg.mt.gov/legislator-information/roster/individual/5159;https://leg.mt.gov/legislator-information/?session_select=113;https://leg.mt.gov/legislator-information/roster/individual/6941;https://leg.mt.gov/legislator-information/roster/individual/7573,,,,,,,,,,,
ocd-person/69cfa3aa-7091-4752-a99c-b6a42c70b17b,Barry Usher,Republican,20,upper,Barry,Usher,Male,Barry.Usher@legmt.gov,,,,,https://leg.mt.gov/legislator-information/roster/individual/4782;https://leg.mt.gov/legislator-information/roster/individual/5099;https://leg.mt.gov/legislator-information/roster/individual/6908;https://leg.mt.gov/legislator-information/roster/individual/7603,https://leg.mt.gov/legislator-information/?session_select=111;https://leg.mt.gov/legislator-information/roster/individual/5099;https://leg.mt.gov/legislator-information/?session_select=113;https://leg.mt.gov/legislator-information/roster/individual/6908;https://leg.mt.gov/legislator-information/roster/individual/7603,,,,,,,,,,,
ocd-person/f87d7b76-3065-48f4-bc3b-50bf00926180,Becky Beard,Republican,40,upper,Becky,Beard,,Becky.Beard@legmt.gov,,,,,https://leg.mt.gov/legislator-information/roster/individual/7472,https://leg.mt.gov/legislator-information/?session_select=111;https://leg.mt.gov/legislator-information/roster/individual/5139;https://leg.mt.gov/legislator-information/?session_select=113;https://leg.mt.gov/legislator-information/roster/individual/6924;https://leg.mt.gov/legislator-information/roster/individual/7472,,,,,,,,,,,
ocd-person/e0b3aa43-c4ac-42b9-934a-281d064e590f,Bill Mercer,Republican,46,lower,Bill,Mercer,Male,Bill.Mercer@legmt.gov,,,,,https://leg.mt.gov/legislator-information/roster/individual/5105;https://leg.mt.gov/legislator-information/roster/individual/6911;https://leg.mt.gov/legislator-information/roster/individual/7561,https://leg.mt.gov/legislator-information/roster/individual/5105;https://leg.mt.gov/legislator-information/?session_select=113;https://leg.mt.gov/legislator-information/roster/individual/6911;https://leg.mt.gov/legislator-information/roster/individual/7561,,,,,,,,,,,
ocd-person/b2bd7568-3ec0-4537-8238-ea724d788142,Bob Brown,Republican,7,upper,Bob,Brown,Male,Bob.Brown@legmt.gov,,,,,https://leg.mt.gov/legislator-information/roster/individual/4756;https://leg.mt.gov/legislator-information/roster/individual/5071;https://leg.mt.gov/legislator-information/roster/individual/6933;https://leg.mt.gov/legislator-information/roster/individual/7482,https://leg.mt.gov/legislator-information/?session_select=111;https://leg.mt.gov/legislator-information/roster/individual/5071;https://leg.mt.gov/legislator-information/?session_select=113;https://leg.mt.gov/legislator-information/roster/individual/6933;https://leg.mt.gov/legislator-information/roster/individual/7482,,,,,,,,,,,
ocd-person/ad9a1852-425f-4f4b-9b6e-270f2c282024,Bob Carter,Democratic,98,lower,Bob,Carter,,Bob.Carter@legmt.gov,,,,,https://leg.mt.gov/legislator-information/roster/individual/7622,https://leg.mt.gov/legislator-information/roster/individual/7622,,,,,,,,,,,
ocd-person/ab9d7c2f-41db-4137-b068-f8ce4725c497,Bob Keenan,Republican,10,lower,Bob,Keenan,Male,Bob.Keenan@legmt.gov,,,,,https://leg.mt.gov/legislator-information/roster/individual/4711;https://leg.mt.gov/legislator-information/roster/individual/5036;https://leg.mt.gov/legislator-information/roster/individual/6805;https://leg.mt.gov/legislator-information/roster/individual/7537,https://leg.mt.gov/legislator-information/?session_select=111;https://leg.mt.gov/legislator-information/roster/individual/5036;https://leg.mt.gov/legislator-information/?session_select=113;https://leg.mt.gov/legislator-information/roster/individual/6805;https://leg.mt.gov/legislator-information/roster/individual/7537,,,,,,,,,,,
ocd-person/cf7f704c-87ac-4bcd-821a-9377bbbee43f,Bob Phalen,Republican,36,lower,Bob,Phalen,Male,Bobby.Phalen@legmt.gov,,,,,https://leg.mt.gov/legislator-information/roster/individual/6843;https://leg.mt.gov/legislator-information/roster/individual/7575,https://leg.mt.gov/legislator-information/roster/individual/6843;https://leg.mt.gov/legislator-information/roster/individual/7575,,,,,,,,,,,
