id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/ba6eb394-0402-49ba-9917-c5618d8a1589,Aaron Crossley,Democratic,29,lower,Aaron,Crossley,,,,,,https://house.mo.gov/MemberPhoto.aspx?id=2366,https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=029,https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=029,,,,,,,,,,,
ocd-person/4773dfea-a880-4ca1-bdf9-d2c3d487864d,Aaron McMullen,Republican,20,lower,Aaron,McMullen,,,,,,https://house.mo.gov/MemberPhoto.aspx?id=2391,https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=020,https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=020,,,,,,,,,,,
ocd-person/f436aa10-c006-4128-9748-050bf50c4e21,Adam Schnelting,Republican,69,lower,Adam,Schnelting,Male,Adam.Schnelting@house.mo.gov,,,,https://house.mo.gov/MemberPhoto.aspx?id=2087,http://www.house.mo.gov/MemberDetails.aspx?district=104;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=104;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=069,http://house.mo.gov/MemberGridCluster.aspx;http://www.house.mo.gov/MemberDetails.aspx?district=104;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=104;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=069,,,,,,,,,,,
ocd-person/0035304c-e314-4d57-8fc8-addf19b16111,Adam Schwadron,Republican,105,lower,Adam,Schwadron,,,,,,https://house.mo.gov/MemberPhoto.aspx?id=2226,https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=105,https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=105,,,,,,,,,,,
ocd-person/f2e657d5-999a-4d77-98e3-b06a7c3771f4,Adrian Plank,Democratic,47,lower,Adrian,Plank,,,,,,https://house.mo.gov/MemberPhoto.aspx?id=2395,https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=047,https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=047,,,,,,,,,,,
ocd-person/de7efb99-6dba-4e44-96f5-02753676e61c,Alan Gray,Democratic,75,lower,Alan,Gray,Male,Alan.Gray@house.mo.gov,,,,https://house.mo.gov/MemberPhoto.aspx?id=1934,http://www.house.mo.gov/MemberDetails.aspx?district=75;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=075;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=075,http://house.mo.gov/MemberGridCluster.aspx;http://www.house.mo.gov/MemberDetails.aspx?district=75;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=075;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=075,,,,,,,,,,,
ocd-person/b11b5a8d-08e8-4cf3-802c-42a842102cfa,Alex Riley,Republican,134,lower,Alex,Riley,Male,,,,,https://house.mo.gov/MemberPhoto.aspx?id=2232,https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=134;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=134,https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=134;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=134,,,,,,,,,,,
ocd-person/2effb0e6-3648-4cc7-8738-8f2cb8373b30,Andrew Koenig,Republican,15,upper,Andrew,Koenig,Male,,,,,https://www.senate.mo.gov/18web/wp-content/uploads/2017/01/Koenig-Andrew-2017w-200x300.jpg,http://www.senate.mo.gov/mem15;https://www.senate.mo.gov/mem15,http://www.senate.mo.gov/senators-listing/;http://www.senate.mo.gov/mem15;https://www.senate.mo.gov/senators-listing/;https://www.senate.mo.gov/mem15,,,,,,,,,,,
ocd-person/048bc29f-0bab-4fa1-8a1e-647b0eba4dcd,Angela Walton Mosley,Democratic,13,upper,Angela,Walton Mosley,Female,,,,,https://www.senate.mo.gov/21web/wp-content/uploads/2020/12/Mosley2021-200x300.jpg,https://www.senate.mo.gov/mem13,https://www.senate.mo.gov/senators-listing/;https://www.senate.mo.gov/mem13,,,,,,,,,,,
ocd-person/fff43ce1-d209-4556-ba74-32f9ba46d3c0,Ann Kelley,Republican,127,lower,Ann,Kelley,Female,Ann.Kelley@house.mo.gov,,,,https://house.mo.gov/MemberPhoto.aspx?id=2051,http://www.house.mo.gov/MemberDetails.aspx?district=127;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=127;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=127,http://house.mo.gov/MemberGridCluster.aspx;http://www.house.mo.gov/MemberDetails.aspx?district=127;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=127;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=127,,,,,,,,,,,
