id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/b6d52f54-a740-4157-b73c-799e46567691,Aaron Woods,Democratic,13,upper,Aaron,Woods,,Sen.AaronWoods@oregonlegislature.gov,,,,https://www.oregonlegislature.gov/woods/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/woods,https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators;https://www.oregonlegislature.gov/woods,,,,,,,,,,,
ocd-person/3efec526-6660-45fa-9a10-b02716b2a779,Andrea Valderrama,Democratic,47,lower,Andrea,Valderrama,Female,Rep.AndreaValderrama@oregonlegislature.gov,,,,https://www.oregonlegislature.gov/valderrama/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/valderrama/Pages/map.aspx;https://www.oregonlegislature.gov/valderrama,https://www.oregonlegislature.gov/valderrama/Pages/map.aspx;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2022R1')/Legislators;https://www.oregonlegislature.gov/valderrama;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators,,,,,,,,,,,
ocd-person/a22ec130-3ba7-4304-9e6f-3a950b8454cb,Anna Scharf,Republican,23,lower,Anna,Scharf,Female,Rep.AnnaScharf@oregonlegislature.gov,,,,https://www.oregonlegislature.gov/scharf/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/scharf,https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2022R1')/Legislators;https://www.oregonlegislature.gov/scharf;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators,,,,,,,,,,,
ocd-person/7a36fd6a-105a-44b3-b7e3-b3447979db49,Annessa Hartman,Democratic,40,lower,Annessa,Hartman,,Rep.AnnessaHartman@oregonlegislature.gov,,,,https://www.oregonlegislature.gov/hartman/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/hartman,https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators;https://www.oregonlegislature.gov/hartman,,,,,,,,,,,
ocd-person/ce972bc3-ab5d-406d-b1fc-a445225d7ca6,Art Robinson,Republican,2,upper,Art,Robinson,Male,Sen.ArtRobinson@oregonlegislature.gov,,,,https://www.oregonlegislature.gov/robinson/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/robinson;https://www.oregonlegislature.gov/robinson,https://www.oregonlegislature.gov/robinson;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2022R1')/Legislators;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators,,,,"PO Box 1653, Grants Pass, OR 97528",,,,,,,
ocd-person/a19e8e1f-4859-4d05-8dc7-6f0a352c0757,Ben Bowman,Democratic,25,lower,Ben,Bowman,,Rep.BenBowman@oregonlegislature.gov,,,,https://www.oregonlegislature.gov/bowman/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/bowman,https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators;https://www.oregonlegislature.gov/bowman,,,,,,,,,,,
ocd-person/399d6ac3-b0a1-4175-bf62-761fa505150f,Bill Hansell,Republican,29,upper,Bill,Hansell,Male,Sen.BillHansell@oregonlegislature.gov,,,,https://www.oregonlegislature.gov/hansell/PublishingImages/Pages/default/Hansell.jpg,https://www.oregonlegislature.gov/hansell;https://www.oregonlegislature.gov/hansell,https://www.oregonlegislature.gov/hansell;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2022R1')/Legislators;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators,,,,,,,,,,,
ocd-person/4c9f2660-6dd3-49f5-a503-6fe5bc5c7787,Bobby Levy,Republican,58,lower,Bobby,Levy,Female,Rep.BobbyLevy@oregonlegislature.gov,,,,https://www.oregonlegislature.gov/levy/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/levy;https://www.oregonlegislature.gov/levy,https://www.oregonlegislature.gov/levy;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2022R1')/Legislators;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators,,,,,,,,,,,
ocd-person/a95c31b3-9bfa-4ab1-93d1-278082ead92a,Boomer Wright,Republican,9,lower,Boomer,Wright,Male,Rep.BoomerWright@oregonlegislature.gov,,,,https://www.oregonlegislature.gov/wright/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/wright;https://www.oregonlegislature.gov/wright,https://www.oregonlegislature.gov/wright;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2022R1')/Legislators;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators,,,,"PO Box 39000 Florence, Oregon 97439",541-361-6042,,,,,,
ocd-person/a3e2d670-179f-4614-bbfd-be3c8fd4df35,Brian Boquist,Independent,12,upper,Brian,Boquist,Male,Sen.BrianBoquist@oregonlegislature.gov,,,,https://www.oregonlegislature.gov/boquist/PublishingImages/member_photo.jpg,https://www.oregonlegislature.gov/boquist;https://www.oregonlegislature.gov/boquist,https://www.oregonlegislature.gov/boquist;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2022R1')/Legislators;https://api.oregonlegislature.gov/odata/odataservice.svc/LegislativeSessions('2023R1')/Legislators,,,,,503-876-8676,,,,,,
