id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/0c6a7bcf-e990-41a0-b59c-923f05771880,Adam C. Bird,Republican,63,lower,,,,,,,,https://www.legislature.ohio.gov/assets/people/adam-c-bird/headshots/thumbnails/medium/adam-c-bird-january-2023-headshot_medium.jpg,http://ohiohouse.gov/adam-c-bird,https://www.legislature.ohio.gov/legislators/house-directory;https://ohiohouse.gov/members/adam-c-bird,,,,,,,,,,,
ocd-person/d9437df7-3071-434b-b64f-46a5e15e7578,Adam C. Miller,Democratic,6,lower,Adam,Miller,,rep17@ohiohouse.gov,"""Adam Miller, a practicing attorney specializing in\_representing school\
\ districts, educational service centers and statewide educational associations,\
\ proudly serves constituents of Ohio's 17th House District.""",,,https://www.legislature.ohio.gov/assets/people/adam-c-miller/headshots/thumbnails/medium/adam-c-miller-january-2017-headshot_medium.jpg,http://www.ohiohouse.gov/adam-c-miller;http://ohiohouse.gov/adam-c-miller,http://www.ohiohouse.gov/members/member-directory;http://ohiohouse.gov/adam-c-miller;https://ohiohouse.gov/members/adam-c-miller;https://www.legislature.ohio.gov/legislators/house-directory,,,,,,,,,,,
ocd-person/78912d95-3dac-4487-810a-74be41508ebb,Adam Holmes,Republican,97,lower,Adam,Holmes,,rep97@ohiohouse.gov,,,,https://www.legislature.ohio.gov/assets/people/adam-holmes/headshots/thumbnails/medium/adam-holmes-january-2021-headshot_medium.jpg,http://www.ohiohouse.gov/adam-holmes;http://ohiohouse.gov/adam-holmes,http://www.ohiohouse.gov/members/member-directory;http://ohiohouse.gov/adam-holmes;https://ohiohouse.gov/members/adam-holmes;https://www.legislature.ohio.gov/legislators/house-directory,,,,,,,,,,,
ocd-person/b04e2962-e7c6-46b8-9a99-d7a6d3a32717,Adam Mathews,Republican,56,lower,Adam,Mathews,,,,,,https://www.legislature.ohio.gov/assets/people/adam-mathews/headshots/thumbnails/medium/adam-mathews-january-2023-headshot_medium.jpg,,https://ohiohouse.gov/members/adam-mathews;https://www.legislature.ohio.gov/legislators/house-directory,,,,,,,,,,,
ocd-person/6a1fc3b1-ebfd-47b7-adec-ddcd84d137c9,Al Cutrona,Republican,58,lower,Al,Cutrona,,,,,,https://www.legislature.ohio.gov/assets/people/al-cutrona/headshots/thumbnails/medium/al-cutrona-february-2023-headshot_medium.jpg,http://ohiohouse.gov/al-cutrona,http://ohiohouse.gov/al-cutrona;https://ohiohouse.gov/members/al-cutrona;https://www.legislature.ohio.gov/legislators/house-directory,,,,,,,,,,,
ocd-person/debec71d-fcfb-4422-9c9e-c6a8709cbb3a,Al Landis,Republican,31,upper,Al,Landis,,,,,,https://www.legislature.ohio.gov/assets/people/al-landis/headshots/thumbnails/medium/al-landis-may-2023-headshot_medium.jpg,,https://ohiosenate.gov/members/al-landis;https://www.legislature.ohio.gov/legislators/senate-directory,,,,,,,,,,,
ocd-person/07c054e9-9a51-41b2-994a-8f63b0148d07,Andrea White,Republican,36,lower,Andrea,White,,,,,,https://www.legislature.ohio.gov/assets/people/andrea-white/headshots/thumbnails/medium/andrea-white-march-2023-headshot_medium.jpg,http://ohiohouse.gov/andrea-white,http://ohiohouse.gov/andrea-white;https://ohiohouse.gov/members/andrea-white;https://www.legislature.ohio.gov/legislators/house-directory,,,,,,,,,,,
ocd-person/c61c8eaf-1de9-419d-a5dc-c96787315578,Andrew O. Brenner,Republican,19,upper,Andrew,Brenner,,sd19@ohiosenate.gov,,,,https://www.legislature.ohio.gov/assets/people/andrew-o-brenner/headshots/thumbnails/medium/andrew-o-brenner-may-2023-headshot_medium.jpg,http://www.ohiosenate.gov/senators/brenner,http://www.ohiosenate.gov/senators;https://ohiosenate.gov/members/andrew-o-brenner;https://www.legislature.ohio.gov/legislators/senate-directory,,,,,,,,,,,
ocd-person/4ed8184a-01ff-4bdc-a06c-cbf8b4c73fd6,Angela N. King,Republican,84,lower,,,,,,,,https://www.legislature.ohio.gov/assets/people/angela-n-king/headshots/thumbnails/medium/angela-n-king-january-2023-headshot_medium.jpg,,https://ohiohouse.gov/members/angela-n-king;https://www.legislature.ohio.gov/legislators/house-directory,,,,,,,,,,,
ocd-person/3bfe0748-5423-4fcf-9962-905d2b747f23,Anita Somani,Democratic,11,lower,Anita,Somani,,,,,,https://www.legislature.ohio.gov/assets/people/anita-somani/headshots/thumbnails/medium/anita-somani-january-2023-headshot_medium.jpg,,https://ohiohouse.gov/members/anita-somani;https://www.legislature.ohio.gov/legislators/house-directory,,,,,,,,,,,
